construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,probability p
rand,rand,prob,Rand.Uni.100.5.1.gexf,100,500,2,1,6,4.7465977072765915,2.824666795491421,4.746597707276592,2.824666795491421,2688,204,136,0,0,"[4.7465977072765915, 4.746597707276592, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 3.772476540781272, 3.772476540781271, 3.772476540781272, 3.772476540781271, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 3.951663154384661, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 3.7987879619867413, 3.1085439582547574, 2.824666795491421, 3.772476540781271, 3.055482644204306, 4.029603810699626, 4.7465977072765915, 4.746597707276591, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 3.772476540781271, 4.7465977072765915, 4.7465977072765915, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 3.772476540781271, 3.772476540781272, 3.772476540781271, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.029603810699626, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 3.7987879619867413, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 3.7987879619867413, 3.798787961986741, 3.772476540781271, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.124103364986052, 4.746597707276592, 4.7465977072765915, 4.056353703544608, 4.7465977072765915, 4.746597707276591, 3.951663154384661, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 3.772476540781272, 3.772476540781272, 3.772476540781272, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.029603810699626, 4.7465977072765915, 4.056353703544608, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.029603810699626, 3.2346692578076954, 4.029603810699626, 4.029603810699626, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 3.951663154384661, 3.951663154384661, 3.951663154384661, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.124103364986052, 4.124103364986052, 3.433859361254068, 4.056353703544608, 4.056353703544607, 4.7465977072765915, 4.7465977072765915, 4.056353703544608, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 3.951663154384661, 3.951663154384661, 3.772476540781272, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276592, 4.7465977072765915, 3.7987879619867413, 3.7987879619867413, 3.798787961986741, 3.7987879619867413, 3.7987879619867413, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.746597707276592, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 3.951663154384661, 4.7465977072765915, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.746597707276591]",0.05
rand,rand,prob,Rand.Uni.100.5.1.gexf,100,500,3,2,6,4.7465977072765915,2.391550061677792,4.746597707276592,2.391550061677792,2586,205,117,0,0,"[4.7465977072765915, 4.746597707276592, 4.746597707276591, 4.7465977072765915, 3.7987879619867413, 3.772476540781271, 3.7724765407812715, 3.772476540781271, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.951663154384661, 3.9516631543846605, 3.951663154384661, 3.9516631543846605, 3.951663154384661, 3.9516631543846605, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.746597707276591, 4.7465977072765915, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.029603810699626, 3.055482644204306, 3.055482644204306, 3.055482644204306, 3.772476540781271, 2.824666795491421, 2.824666795491421, 3.7987879619867413, 3.7987879619867413, 3.798787961986741, 3.0817940654097757, 3.0817940654097757, 3.7987879619867413, 3.798787961986741, 3.7987879619867413, 4.7465977072765915, 4.746597707276591, 4.746597707276591, 4.7465977072765915, 3.772476540781272, 3.772476540781271, 4.746597707276591, 4.056353703544608, 4.7465977072765915, 3.7987879619867413, 3.7987879619867413, 3.7987879619867413, 3.7987879619867413, 3.798787961986741, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.029603810699626, 3.3393598069676425, 4.056353703544608, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 3.7987879619867413, 2.824666795491421, 3.7987879619867413, 3.7987879619867413, 3.7987879619867413, 3.798787961986741, 3.7987879619867413, 3.1085439582547574, 3.1085439582547574, 3.7987879619867413, 2.824666795491421, 2.824666795491421, 3.772476540781272, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.056353703544608, 4.056353703544608, 4.056353703544608, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.124103364986052, 4.746597707276591, 4.124103364986052, 3.4071094684090864, 3.4071094684090864, 3.4071094684090864, 3.4071094684090864, 2.4592997231192353, 2.391550061677792, 3.0817940654097757, 4.029603810699626, 4.029603810699626, 3.7724765407812715, 3.772476540781271, 3.772476540781272, 3.772476540781271, 3.7724765407812715, 3.772476540781271, 3.7724765407812715, 3.772476540781271, 3.7724765407812715, 3.772476540781272, 3.7724765407812715, 3.772476540781272, 3.7724765407812715, 3.772476540781272, 3.7724765407812715, 3.772476540781271, 3.082232537049288, 3.772476540781272, 3.7724765407812715, 3.772476540781271, 4.7465977072765915, 4.746597707276591, 3.7987879619867413, 3.7987879619867413, 3.798787961986741, 3.798787961986741, 3.1085439582547574, 3.1085439582547574, 3.1085439582547574, 3.082232537049288, 3.7724765407812715, 4.746597707276591, 4.746597707276591, 4.124103364986052, 4.124103364986052, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.951663154384661, 3.9516631543846605, 2.9775419878893405, 2.9775419878893405, 3.7724765407812715, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.029603810699626, 3.4071094684090864, 3.4071094684090864, 2.432988301913766, 3.4071094684090864, 4.124103364986052, 3.433859361254068, 4.056353703544607, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591]",0.05
rand,rand,prob,Rand.Uni.100.5.1.gexf,100,500,5,3,6,4.7465977072765915,2.391550061677792,4.746597707276592,2.391550061677792,2603,223,130,0,0,"[4.7465977072765915, 4.746597707276592, 4.7465977072765915, 4.746597707276591, 3.798787961986741, 3.7987879619867413, 3.798787961986741, 3.798787961986741, 4.746597707276592, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.772476540781272, 3.7724765407812715, 3.772476540781271, 3.772476540781272, 3.772476540781271, 3.7724765407812715, 3.772476540781271, 3.772476540781272, 3.772476540781271, 3.772476540781272, 3.772476540781271, 3.772476540781272, 3.772476540781271, 3.772476540781271, 3.772476540781271, 3.7724765407812715, 3.082232537049288, 3.082232537049288, 3.082232537049288, 3.082232537049288, 3.082232537049288, 4.056353703544608, 4.056353703544608, 4.056353703544607, 4.7465977072765915, 4.7465977072765915, 4.056353703544608, 4.056353703544608, 4.056353703544607, 3.082232537049288, 3.772476540781271, 3.7724765407812715, 3.772476540781271, 3.7724765407812715, 3.772476540781271, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.7987879619867413, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.746597707276591, 4.746597707276591, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.056353703544608, 4.056353703544608, 4.056353703544608, 4.029603810699626, 4.029603810699626, 3.7724765407812715, 3.772476540781271, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.9516631543846614, 3.951663154384661, 3.951663154384661, 4.746597707276591, 4.746597707276592, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.951663154384661, 3.9516631543846605, 4.746597707276592, 4.124103364986052, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.029603810699626, 4.029603810699626, 4.7465977072765915, 4.746597707276592, 4.7465977072765915, 4.746597707276592, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.746597707276592, 4.746597707276591, 4.746597707276592, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.029603810699626, 4.746597707276591, 4.746597707276591, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.772476540781272, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.7987879619867413, 3.798787961986741, 4.029603810699626, 3.2346692578076954, 3.2346692578076954, 3.2346692578076954, 2.612174915517155, 3.4071094684090864, 4.124103364986052, 4.124103364986052, 3.4071094684090864, 3.4071094684090864, 3.4071094684090864, 3.4071094684090864, 3.4071094684090864, 3.4071094684090864, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.124103364986052, 4.7465977072765915, 4.7465977072765915, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 4.746597707276591, 4.7465977072765915, 4.746597707276591, 3.951663154384661, 4.746597707276591, 4.029603810699626, 4.029603810699626, 3.0817940654097757, 3.0817940654097757, 2.391550061677792, 2.391550061677792]",0.05
rand,rand,prob,Rand.Uni.100.5.1.gexf,100,F,10,4,6,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,Rand.Uni.100.25.1.gexf,100,2500,2,1,36,18.382275183093853,16.826846559483123,18.382275183093856,16.826846559483123,780,68,33,0,0,"[18.382275183093853, 18.382275183093856, 18.382275183093853, 18.38227518309385, 18.38227518309385, 18.382275183093853, 18.382275183093846, 18.382275183093856, 18.382275183093853, 17.991059744611718, 18.382275183093856, 18.382275183093853, 18.38227518309385, 18.382275183093853, 18.382275183093856, 18.382275183093853, 18.38227518309385, 18.382275183093853, 18.33797361849779, 18.3379736184978, 18.382275183093853, 18.382275183093846, 18.382275183093853, 18.38227518309385, 18.382275183093846, 18.382275183093864, 18.382275183093856, 18.382275183093853, 18.38227518309385, 17.70132778878143, 17.70132778878143, 17.701327788781427, 16.826846559483123, 17.70132778878143, 17.70132778878143, 17.701327788781434, 18.382275183093853, 17.640307066586086, 17.640307066586082, 17.640307066586082, 17.64030706658608, 17.64030706658609, 17.640307066586082, 17.64030706658608, 18.38227518309385, 18.382275183093856, 18.382275183093853, 18.382275183093853, 18.38227518309385, 18.382275183093853, 18.382275183093853, 18.382275183093853, 18.382275183093853, 18.382275183093856, 18.382275183093853, 18.38227518309386, 18.38227518309385, 17.99105974461172, 17.99105974461172, 18.382275183093853, 18.38227518309385, 18.382275183093853, 18.38227518309385, 18.382275183093853, 18.38227518309385, 18.382275183093856, 17.70132778878143, 18.382275183093853, 18.38227518309385, 17.571655414824097]",0.05
rand,rand,prob,Rand.Uni.100.25.1.gexf,100,2500,3,2,36,18.382275183093853,16.558859151065704,17.57165541482409,16.558859151065704,747,89,40,0,0,"[18.382275183093853, 17.57165541482409, 17.5716554148241, 17.571655414824093, 17.571655414824097, 17.571655414824093, 17.466062969281037, 17.466062969281033, 17.466062969281033, 17.46606296928103, 17.359186872548882, 17.464779318091935, 17.5716554148241, 17.571655414824093, 17.5716554148241, 17.571655414824097, 17.571655414824093, 17.57165541482409, 17.262523418753567, 17.262523418753567, 17.262523418753563, 17.26252341875356, 16.581576024441144, 17.262523418753556, 16.558859151065707, 16.558859151065704, 16.867991147136237, 16.867991147136234, 17.5716554148241, 17.571655414824093, 17.5716554148241, 17.18043997634197, 17.180439976341965, 17.180439976341958, 17.18043997634197, 17.18043997634196, 17.180439976341965, 17.18043997634196, 17.18043997634197, 17.180439976341965, 17.5716554148241, 17.5716554148241, 17.571655414824093, 17.571655414824104, 17.5716554148241, 17.571655414824097, 17.571655414824097, 17.571655414824093, 17.5716554148241, 17.571655414824097, 17.571655414824093, 17.57165541482409, 17.5716554148241, 17.571655414824097, 17.5716554148241, 17.571655414824093, 17.571655414824097, 17.57165541482409, 17.5716554148241, 17.571655414824093, 17.5716554148241, 17.571655414824093, 17.571655414824097, 17.043589579887474, 17.043589579887474, 17.571655414824097, 17.464779318091935, 17.464779318091942, 17.46477931809194, 17.46477931809194, 17.464779318091935, 17.464779318091935, 17.073563879609807, 17.180439976341972, 17.180439976341965, 17.5716554148241, 17.571655414824097, 17.5716554148241, 17.571655414824097, 17.571655414824104, 17.44614466300666, 17.446144663006656, 17.571655414824097, 17.571655414824093, 17.5716554148241, 17.571655414824104, 17.571655414824097, 17.5716554148241, 17.5716554148241, 17.5716554148241, 17.571655414824097]",0.05
rand,rand,prob,Rand.Uni.100.25.1.gexf,100,2500,5,3,36,18.382275183093853,14.657209563004129,17.075507886252733,14.657209563004129,767,73,30,0,0,"[18.382275183093853, 17.075507886252733, 17.075507886252748, 17.07550788625274, 17.07550788625274, 17.075507886252744, 16.547442051316118, 16.547442051316125, 16.54744205131612, 17.04358957988747, 17.043589579887474, 16.651191963861397, 16.651191963861393, 16.65119196386139, 16.651191963861386, 15.776710734563084, 15.776710734563084, 15.776710734563082, 15.77671073456308, 15.776710734563082, 16.697174185525785, 16.016226791213363, 16.016226791213363, 16.016226791213366, 16.016226791213363, 16.016226791213363, 16.016226791213363, 16.697174185525792, 16.69717418552579, 16.697174185525785, 16.03355279175983, 16.90803402105814, 16.908034021058135, 16.908034021058143, 16.908034021058135, 16.19245948627031, 16.192459486270305, 16.192459486270312, 16.192459486270305, 16.1924594862703, 15.81391800509199, 15.813918005091983, 15.813918005091992, 15.813918005091988, 15.813918005091987, 15.48879521858244, 15.488795218582442, 15.48879521858244, 14.65720956300413, 14.657209563004129, 15.32083095677009, 15.320830956770088, 15.320830956770092, 15.320830956770086, 15.320830956770084, 15.32083095677009, 15.320830956770086, 15.320830956770084, 16.036405491557918, 16.740069759245785, 16.740069759245777, 16.740069759245785, 16.74006975924578, 17.571655414824104, 17.571655414824097, 17.571655414824093, 17.571655414824097, 17.57165541482409, 16.856080880036266, 16.856080880036256, 16.856080880036263, 16.856080880036263, 16.856080880036266, 16.856080880036263, 16.58111857093758]",0.05
rand,rand,prob,Rand.Uni.100.25.1.gexf,100,2500,10,4,36,18.382275183093853,13.208661023920524,16.58111857093758,13.208661023920524,790,63,25,0,0,"[18.382275183093853, 16.58111857093758, 16.581118570937576, 16.581118570937576, 16.58111857093758, 16.581118570937576, 16.581118570937576, 16.58111857093758, 16.581118570937576, 16.58111857093757, 15.660655119974871, 15.66065511997487, 15.660655119974868, 15.282113638796558, 15.282113638796554, 16.202577089759266, 16.20257708975926, 16.581118570937576, 16.58111857093758, 16.581118570937576, 16.581118570937576, 16.58111857093758, 16.581118570937576, 16.58111857093758, 16.581118570937576, 16.296004949095284, 16.296004949095288, 16.296004949095284, 16.296004949095284, 16.296004949095288, 16.115855361033137, 16.115855361033137, 16.11585536103313, 16.115855361033134, 16.115855361033137, 16.115855361033134, 16.11585536103313, 16.115855361033134, 16.115855361033134, 16.11585536103313, 15.685394448087589, 15.685394448087587, 14.81091321878928, 14.20758509220835, 14.207585092208346, 14.923159626996181, 15.797640856294489, 15.301493327723133, 15.194617230990977, 15.194617230990975, 15.194617230990975, 15.194617230990973, 15.301493327723135, 15.301493327723133, 15.301493327723136, 15.301493327723133, 15.073235798725753, 15.073235798725753, 14.392288404413328, 14.392288404413323, 14.392288404413327, 14.013746923235011, 13.20866102392053, 13.208661023920527, 13.208661023920524]",0.05
rand,rand,prob,Small.1000.10.2.1.gexf,1000,10000,2,1,9,9.0,9.0,9.0,9.0,171,14,14,0,0,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",0.05
rand,rand,prob,Small.1000.10.2.1.gexf,1000,10000,3,2,9,9.0,9.0,9.0,9.0,180,9,9,0,0,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]",0.05
rand,rand,prob,Small.1000.10.2.1.gexf,1000,10000,5,3,9,9.0,8.0,9.0,8.0,177,8,7,0,0,"[9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",0.05
rand,rand,prob,Small.1000.10.2.1.gexf,1000,F,10,4,9,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,Small.1000.10.5.1.gexf,1000,10000,2,1,8,8.0,8.0,8.0,8.0,178,17,17,0,0,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",0.05
rand,rand,prob,Small.1000.10.5.1.gexf,1000,10000,3,2,8,8.0,8.0,8.0,8.0,178,8,8,0,0,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",0.05
rand,rand,prob,Small.1000.10.5.1.gexf,1000,10000,5,3,8,8.0,8.0,8.0,8.0,174,6,6,0,0,"[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",0.05
rand,rand,prob,Small.1000.10.5.1.gexf,1000,F,10,4,8,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,R-MAT.1000.5.1.gexf,1000,4718,2,1,56,67.0,66.0,67.0,66.0,219,15,12,0,0,"[67.0, 67.0, 67.0, 66.0, 67.0, 67.0, 66.0, 67.0, 67.0, 67.0, 67.0, 66.0, 67.0, 67.0, 67.0, 67.0, 67.0]",0.05
rand,rand,prob,R-MAT.1000.5.1.gexf,1000,4718,3,2,56,67.0,66.0,67.0,66.0,211,16,14,0,0,"[67.0, 67.0, 67.0, 67.0, 67.0, 66.0, 66.0, 67.0, 67.0, 67.0, 67.0, 66.0, 67.0, 67.0, 67.0, 67.0, 67.0, 67.0]",0.05
rand,rand,prob,R-MAT.1000.5.1.gexf,1000,4718,5,3,56,67.0,64.0,67.0,64.0,215,12,8,0,0,"[67.0, 67.0, 66.0, 67.0, 67.0, 66.0, 66.0, 66.0, 64.0, 66.0, 65.0, 66.0, 66.0, 66.0]",0.05
rand,rand,prob,R-MAT.1000.5.1.gexf,1000,4718,10,4,56,67.0,65.0,66.0,65.0,216,16,14,0,0,"[67.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 66.0, 65.0, 65.0, 65.0, 66.0, 66.0, 65.0, 66.0]",0.05
rand,rand,prob,R-MAT.1000.25.1.gexf,1000,20721,2,1,184,346.0,344.0,346.0,344.0,52,5,4,0,0,"[346.0, 346.0, 346.0, 344.0, 344.0, 346.0, 346.0]",0.05
rand,rand,prob,R-MAT.1000.25.1.gexf,1000,20721,3,2,184,346.0,346.0,346.0,346.0,50,4,4,0,0,"[346.0, 346.0, 346.0, 346.0, 346.0, 346.0]",0.05
rand,rand,prob,R-MAT.1000.25.1.gexf,1000,20721,5,3,184,346.0,344.0,346.0,344.0,51,3,2,0,0,"[346.0, 346.0, 346.0, 346.0, 344.0]",0.05
rand,rand,prob,R-MAT.1000.25.1.gexf,1000,20721,10,4,184,346.0,344.0,344.0,344.0,51,1,1,0,0,"[346.0, 344.0, 344.0]",0.05
rand,rand,prob,Complete.1000.1.1.gexf,1000,999000,2,1,999,501.3524688889668,501.3524688889666,501.3524688889666,inf,2,0,0,0,0,"[501.3524688889668, 501.3524688889666]",0.05
rand,rand,prob,Complete.1000.1.1.gexf,1000,999000,3,2,999,501.3524688889668,501.3524688889658,501.3524688889658,inf,2,0,0,0,0,"[501.3524688889668, 501.3524688889658]",0.05
rand,rand,prob,Complete.1000.1.1.gexf,1000,999000,5,3,999,501.3524688889668,501.3524688889668,501.35246888896694,501.3524688889668,2,2,0,0,0,"[501.3524688889668, 501.35246888896694, 501.3524688889669, 501.3524688889668]",0.05
rand,rand,prob,Complete.1000.1.1.gexf,1000,999000,10,4,999,501.3524688889668,501.3524688889654,501.3524688889654,inf,2,0,0,0,0,"[501.3524688889668, 501.3524688889654]",0.05
rand,rand,prob,Complete.1000.20.1.gexf,1000,999000,2,1,999,9680,9680,9680,inf,2,0,0,0,0,"[9680, 9680]",0.05
rand,rand,prob,Complete.1000.20.1.gexf,1000,999000,3,2,999,9680,9680,9680,inf,2,0,0,0,0,"[9680, 9680]",0.05
rand,rand,prob,Complete.1000.20.1.gexf,1000,999000,5,3,999,9680,9680,9680,inf,2,0,0,0,0,"[9680, 9680]",0.05
rand,rand,prob,Complete.1000.20.1.gexf,1000,999000,10,4,999,9680,9680,9680,inf,2,0,0,0,0,"[9680, 9680]",0.05
rand,rand,prob,Rand.Uni.1000.5.1.gexf,1000,5000,2,1,6,2.854203596187854,2.8542035961878534,2.8542035961878534,2.854203596187854,279,14,14,0,0,"[2.854203596187854, 2.8542035961878534, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854]",0.05
rand,rand,prob,Rand.Uni.1000.5.1.gexf,1000,5000,3,2,6,2.854203596187854,2.7097217475858146,2.854203596187853,2.7097217475858146,268,11,10,0,0,"[2.854203596187854, 2.854203596187853, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.7097217475858146, 2.7097217475858146, 2.854203596187854]",0.05
rand,rand,prob,Rand.Uni.1000.5.1.gexf,1000,5000,5,3,6,2.854203596187854,2.096685398799897,2.8542035961878534,2.096685398799897,277,21,20,0,0,"[2.854203596187854, 2.8542035961878534, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.854203596187854, 2.096685398799897, 2.096685398799897, 2.096685398799897]",0.05
rand,rand,prob,Rand.Uni.1000.5.1.gexf,1000,F,10,4,6,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,Rand.Uni.1000.25.1.gexf,1000,25000,2,1,41,16.953131672527206,16.953131672527206,16.953131672527213,16.953131672527206,56,7,3,0,0,"[16.953131672527206, 16.953131672527213, 16.95313167252721, 16.953131672527206, 16.95313167252721, 16.953131672527213, 16.95313167252721, 16.953131672527206, 16.95313167252721]",0.05
rand,rand,prob,Rand.Uni.1000.25.1.gexf,1000,25000,3,2,41,16.953131672527206,16.704854693596403,16.953131672527217,16.704854693596403,56,15,6,0,0,"[16.953131672527206, 16.953131672527217, 16.95313167252721, 16.953131672527213, 16.953131672527206, 16.95313167252721, 16.953131672527206, 16.95313167252721, 16.953131672527203, 16.70485469359641, 16.704854693596403, 16.70485469359641, 16.704854693596403, 16.70485469359641, 16.704854693596403, 16.95313167252721, 16.953131672527206]",0.05
rand,rand,prob,Rand.Uni.1000.25.1.gexf,1000,25000,5,3,41,16.953131672527206,16.953131672527203,16.953131672527217,16.953131672527203,57,6,5,0,0,"[16.953131672527206, 16.953131672527217, 16.953131672527203, 16.95313167252721, 16.95313167252721, 16.95313167252721, 16.95313167252721, 16.953131672527213]",0.05
rand,rand,prob,Rand.Uni.1000.25.1.gexf,1000,25000,10,4,41,16.953131672527206,16.953131672527203,16.95313167252721,16.953131672527203,55,7,5,0,0,"[16.953131672527206, 16.95313167252721, 16.95313167252721, 16.953131672527213, 16.953131672527206, 16.953131672527213, 16.953131672527203, 16.95313167252721, 16.95313167252721]",0.05
