path,edge connectivity,k,max multirute flow,iterations
R-MAT.128.8.51.gexf,1,28,39.0,1
R-MAT.128.8.51.gexf,2,28,39.0,1
R-MAT.128.8.51.gexf,3,28,39.0,1
R-MAT.128.8.51.gexf,4,28,39.0,1
R-MAT.128.8.51.gexf,5,28,39.0,1
R-MAT.128.8.51.gexf,6,28,39.0,1
R-MAT.128.8.51.gexf,7,28,39.0,1
R-MAT.128.8.51.gexf,8,28,39.0,1
R-MAT.128.8.51.gexf,9,28,38.888888888888886,2
R-MAT.128.8.51.gexf,10,28,38.5,2
R-MAT.128.8.51.gexf,11,28,38.18181818181818,2
R-MAT.128.8.51.gexf,12,28,37.7,4
R-MAT.128.8.51.gexf,13,28,36.90909090909091,5
R-MAT.128.8.51.gexf,14,28,36.25,4
R-MAT.128.8.51.gexf,15,28,35.69230769230769,4
R-MAT.128.8.51.gexf,16,28,35.214285714285715,4
R-MAT.128.8.51.gexf,17,28,34.36363636363637,8
R-MAT.128.8.51.gexf,18,28,33.25,8
R-MAT.128.8.51.gexf,19,28,32.30769230769231,8
R-MAT.128.8.51.gexf,20,28,31.5,8
R-MAT.128.8.51.gexf,21,28,30.799999999999997,8
R-MAT.128.8.51.gexf,22,28,30.1875,8
R-MAT.128.8.51.gexf,23,28,29.647058823529406,9
R-MAT.128.8.51.gexf,24,28,29.166666666666668,8
R-MAT.128.8.51.gexf,25,28,28.736842105263154,9
R-MAT.128.8.51.gexf,26,28,28.350000000000005,8
R-MAT.128.8.51.gexf,27,28,27.999999999999996,9
R-MAT.128.16.51.gexf,1,39,72.0,1
R-MAT.128.16.51.gexf,2,39,72.0,1
R-MAT.128.16.51.gexf,3,39,72.0,1
R-MAT.128.16.51.gexf,4,39,72.0,1
R-MAT.128.16.51.gexf,5,39,72.0,1
R-MAT.128.16.51.gexf,6,39,72.0,1
R-MAT.128.16.51.gexf,7,39,72.0,1
R-MAT.128.16.51.gexf,8,39,72.0,1
R-MAT.128.16.51.gexf,9,39,72.0,1
R-MAT.128.16.51.gexf,10,39,71.5,2
R-MAT.128.16.51.gexf,11,39,70.9090909090909,2
R-MAT.128.16.51.gexf,12,39,70.41666666666666,3
R-MAT.128.16.51.gexf,13,39,70.0,2
R-MAT.128.16.51.gexf,14,39,69.23076923076923,3
R-MAT.128.16.51.gexf,15,39,68.57142857142857,3
R-MAT.128.16.51.gexf,16,39,68.0,3
R-MAT.128.16.51.gexf,17,39,67.5,3
R-MAT.128.16.51.gexf,18,39,67.05882352941177,3
R-MAT.128.16.51.gexf,19,39,66.66666666666667,4
R-MAT.128.16.51.gexf,20,39,66.3157894736842,3
R-MAT.128.16.51.gexf,21,39,66.0,3
R-MAT.128.16.51.gexf,22,39,64.07142857142857,10
R-MAT.128.16.51.gexf,23,39,62.400000000000006,10
R-MAT.128.16.51.gexf,24,39,60.9375,10
R-MAT.128.16.51.gexf,25,39,59.64705882352942,10
R-MAT.128.16.51.gexf,26,39,58.5,10
R-MAT.128.16.51.gexf,27,39,57.47368421052632,10
R-MAT.128.16.51.gexf,28,39,55.36363636363633,19
R-MAT.128.16.51.gexf,29,39,52.499999999999986,19
R-MAT.128.16.51.gexf,30,39,50.076923076923045,20
R-MAT.128.16.51.gexf,31,39,47.999999999999986,19
R-MAT.128.16.51.gexf,32,39,46.19999999999998,20
R-MAT.128.16.51.gexf,33,39,44.625,19
R-MAT.128.16.51.gexf,34,39,43.235294117647044,20
R-MAT.128.16.51.gexf,35,39,41.99999999999999,19
R-MAT.128.16.51.gexf,36,39,40.89473684210526,19
R-MAT.128.16.51.gexf,37,39,39.89999999999999,19
R-MAT.128.16.51.gexf,38,39,39.0,19
R-MAT.128.32.51.gexf,1,55,130.0,1
R-MAT.128.32.51.gexf,2,55,130.0,1
R-MAT.128.32.51.gexf,3,55,130.0,1
R-MAT.128.32.51.gexf,4,55,130.0,1
R-MAT.128.32.51.gexf,5,55,130.0,1
R-MAT.128.32.51.gexf,6,55,130.0,1
R-MAT.128.32.51.gexf,7,55,130.0,1
R-MAT.128.32.51.gexf,8,55,130.0,1
R-MAT.128.32.51.gexf,9,55,130.0,1
R-MAT.128.32.51.gexf,10,55,130.0,1
R-MAT.128.32.51.gexf,11,55,130.0,1
R-MAT.128.32.51.gexf,12,55,130.0,1
R-MAT.128.32.51.gexf,13,55,130.0,1
R-MAT.128.32.51.gexf,14,55,130.0,1
R-MAT.128.32.51.gexf,15,55,130.0,1
R-MAT.128.32.51.gexf,16,55,129.625,3
R-MAT.128.32.51.gexf,17,55,129.1764705882353,2
R-MAT.128.32.51.gexf,18,55,128.52941176470588,4
R-MAT.128.32.51.gexf,19,55,127.77777777777777,4
R-MAT.128.32.51.gexf,20,55,127.10526315789474,3
R-MAT.128.32.51.gexf,21,55,125.52941176470588,6
R-MAT.128.32.51.gexf,22,55,123.94444444444444,8
R-MAT.128.32.51.gexf,23,55,122.52631578947368,7
R-MAT.128.32.51.gexf,24,55,121.05263157894736,8
R-MAT.128.32.51.gexf,25,55,119.6,7
R-MAT.128.32.51.gexf,26,55,118.28571428571428,9
R-MAT.128.32.51.gexf,27,55,117.0909090909091,7
R-MAT.128.32.51.gexf,28,55,116.0,7
R-MAT.128.32.51.gexf,29,55,113.3333333333333,14
R-MAT.128.32.51.gexf,30,55,110.94736842105263,13
R-MAT.128.32.51.gexf,31,55,108.80000000000003,13
R-MAT.128.32.51.gexf,32,55,106.85714285714288,14
R-MAT.128.32.51.gexf,33,55,105.0909090909091,13
R-MAT.128.32.51.gexf,34,55,102.66666666666666,21
R-MAT.128.32.51.gexf,35,55,98.99999999999999,22
R-MAT.128.32.51.gexf,36,55,95.76470588235296,21
R-MAT.128.32.51.gexf,37,55,92.88888888888886,22
R-MAT.128.32.51.gexf,38,55,90.31578947368413,23
R-MAT.128.32.51.gexf,39,55,87.99999999999997,21
R-MAT.128.32.51.gexf,40,55,85.90476190476184,22
R-MAT.128.32.51.gexf,41,55,83.99999999999999,22
R-MAT.128.32.51.gexf,42,55,79.85714285714293,31
R-MAT.128.32.51.gexf,43,55,76.26666666666657,31
R-MAT.128.32.51.gexf,44,55,73.125,30
R-MAT.128.32.51.gexf,45,55,70.35294117647062,30
R-MAT.128.32.51.gexf,46,55,67.88888888888884,30
R-MAT.128.32.51.gexf,47,55,65.68421052631587,30
R-MAT.128.32.51.gexf,48,55,63.70000000000008,30
R-MAT.128.32.51.gexf,49,55,61.90476190476197,31
R-MAT.128.32.51.gexf,50,55,60.272727272727224,31
R-MAT.128.32.51.gexf,51,55,58.78260869565216,31
R-MAT.128.32.51.gexf,52,55,57.41666666666668,30
R-MAT.128.32.51.gexf,53,55,56.159999999999975,30
R-MAT.128.32.51.gexf,54,55,54.99999999999999,29
R-MAT.128.64.51.gexf,1,79,286.0,1
R-MAT.128.64.51.gexf,2,79,286.0,1
R-MAT.128.64.51.gexf,3,79,286.0,1
R-MAT.128.64.51.gexf,4,79,286.0,1
R-MAT.128.64.51.gexf,5,79,286.0,1
R-MAT.128.64.51.gexf,6,79,286.0,1
R-MAT.128.64.51.gexf,7,79,286.0,1
R-MAT.128.64.51.gexf,8,79,286.0,1
R-MAT.128.64.51.gexf,9,79,286.0,1
R-MAT.128.64.51.gexf,10,79,286.0,1
R-MAT.128.64.51.gexf,11,79,286.0,1
R-MAT.128.64.51.gexf,12,79,286.0,1
R-MAT.128.64.51.gexf,13,79,285.38461538461536,2
R-MAT.128.64.51.gexf,14,79,283.92857142857144,2
R-MAT.128.64.51.gexf,15,79,282.6666666666667,2
R-MAT.128.64.51.gexf,16,79,281.5625,2
R-MAT.128.64.51.gexf,17,79,280.5882352941177,2
R-MAT.128.64.51.gexf,18,79,279.72222222222223,3
R-MAT.128.64.51.gexf,19,79,278.9473684210526,3
R-MAT.128.64.51.gexf,20,79,278.25,2
R-MAT.128.64.51.gexf,21,79,277.2,3
R-MAT.128.64.51.gexf,22,79,276.0,3
R-MAT.128.64.51.gexf,23,79,273.6,5
R-MAT.128.64.51.gexf,24,79,271.42857142857144,5
R-MAT.128.64.51.gexf,25,79,269.45454545454544,5
R-MAT.128.64.51.gexf,26,79,267.5454545454545,6
R-MAT.128.64.51.gexf,27,79,265.3913043478261,6
R-MAT.128.64.51.gexf,28,79,263.41666666666663,7
R-MAT.128.64.51.gexf,29,79,260.86956521739125,9
R-MAT.128.64.51.gexf,30,79,258.33333333333337,8
R-MAT.128.64.51.gexf,31,79,256.0,8
R-MAT.128.64.51.gexf,32,79,252.99999999999994,11
R-MAT.128.64.51.gexf,33,79,250.24000000000007,10
R-MAT.128.64.51.gexf,34,79,247.69230769230765,11
R-MAT.128.64.51.gexf,35,79,244.49999999999991,14
R-MAT.128.64.51.gexf,36,79,241.24000000000004,13
R-MAT.128.64.51.gexf,37,79,238.23076923076925,13
R-MAT.128.64.51.gexf,38,79,235.44444444444446,14
R-MAT.128.64.51.gexf,39,79,232.59259259259255,14
R-MAT.128.64.51.gexf,40,79,229.89285714285717,14
R-MAT.128.64.51.gexf,41,79,227.3793103448276,14
R-MAT.128.64.51.gexf,42,79,225.03333333333327,15
R-MAT.128.64.51.gexf,43,79,222.83870967741933,15
R-MAT.128.64.51.gexf,44,79,219.375,23
R-MAT.128.64.51.gexf,45,79,215.2800000000001,24
R-MAT.128.64.51.gexf,46,79,211.5,22
R-MAT.128.64.51.gexf,47,79,208.0,22
R-MAT.128.64.51.gexf,48,79,204.7499999999999,22
R-MAT.128.64.51.gexf,49,79,201.7241379310346,22
R-MAT.128.64.51.gexf,50,79,196.71428571428564,31
