path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
568	Small.500.24.5.5.gexf	5	19	1	Small	500	24	5	5	gexf
569	Small.500.24.5.5.gexf	10	19	1	Small	500	24	5	5	gexf
571	Small.1000.6.2.5.gexf	2	7	1	Small	1000	6	2	5	gexf
572	Small.1000.6.2.5.gexf	3	7	1	Small	1000	6	2	5	gexf
573	Small.1000.6.2.5.gexf	5	7	1	Small	1000	6	2	5	gexf
576	Small.1000.6.5.5.gexf	2	4	1	Small	1000	6	5	5	gexf
577	Small.1000.6.5.5.gexf	3	4	1	Small	1000	6	5	5	gexf
581	Small.1000.10.2.5.gexf	2	10	1	Small	1000	10	2	5	gexf
582	Small.1000.10.2.5.gexf	3	10	1	Small	1000	10	2	5	gexf
583	Small.1000.10.2.5.gexf	5	10	1	Small	1000	10	2	5	gexf
586	Small.1000.10.5.5.gexf	2	9	1	Small	1000	10	5	5	gexf
587	Small.1000.10.5.5.gexf	3	9	1	Small	1000	10	5	5	gexf
588	Small.1000.10.5.5.gexf	5	9	1	Small	1000	10	5	5	gexf
591	Small.1000.24.2.5.gexf	2	23	1	Small	1000	24	2	5	gexf
592	Small.1000.24.2.5.gexf	3	23	1	Small	1000	24	2	5	gexf
593	Small.1000.24.2.5.gexf	5	23	1	Small	1000	24	2	5	gexf
594	Small.1000.24.2.5.gexf	10	23	1	Small	1000	24	2	5	gexf
596	Small.1000.24.5.5.gexf	2	21	1	Small	1000	24	5	5	gexf
597	Small.1000.24.5.5.gexf	3	21	1	Small	1000	24	5	5	gexf
598	Small.1000.24.5.5.gexf	5	21	1	Small	1000	24	5	5	gexf
599	Small.1000.24.5.5.gexf	10	21	1	Small	1000	24	5	5	gexf
601	Small.50.6.2.6.gexf	2	6	1	Small	50	6	2	6	gexf
602	Small.50.6.2.6.gexf	3	6	1	Small	50	6	2	6	gexf
603	Small.50.6.2.6.gexf	5	6	1	Small	50	6	2	6	gexf
606	Small.50.6.5.6.gexf	2	4	1	Small	50	6	5	6	gexf
607	Small.50.6.5.6.gexf	3	4	1	Small	50	6	5	6	gexf
611	Small.50.10.2.6.gexf	2	8	1	Small	50	10	2	6	gexf
612	Small.50.10.2.6.gexf	3	8	1	Small	50	10	2	6	gexf
613	Small.50.10.2.6.gexf	5	8	1	Small	50	10	2	6	gexf
616	Small.50.10.5.6.gexf	2	10	1	Small	50	10	5	6	gexf
617	Small.50.10.5.6.gexf	3	10	1	Small	50	10	5	6	gexf
618	Small.50.10.5.6.gexf	5	10	1	Small	50	10	5	6	gexf
621	Small.50.24.2.6.gexf	2	24	1	Small	50	24	2	6	gexf
622	Small.50.24.2.6.gexf	3	24	1	Small	50	24	2	6	gexf
623	Small.50.24.2.6.gexf	5	24	1	Small	50	24	2	6	gexf
624	Small.50.24.2.6.gexf	10	24	1	Small	50	24	2	6	gexf
626	Small.50.24.5.6.gexf	2	20	1	Small	50	24	5	6	gexf
627	Small.50.24.5.6.gexf	3	20	1	Small	50	24	5	6	gexf
628	Small.50.24.5.6.gexf	5	20	1	Small	50	24	5	6	gexf
629	Small.50.24.5.6.gexf	10	20	1	Small	50	24	5	6	gexf
631	Small.100.6.2.6.gexf	2	5	1	Small	100	6	2	6	gexf
632	Small.100.6.2.6.gexf	3	5	1	Small	100	6	2	6	gexf
636	Small.100.6.5.6.gexf	2	4	1	Small	100	6	5	6	gexf
637	Small.100.6.5.6.gexf	3	4	1	Small	100	6	5	6	gexf
641	Small.100.10.2.6.gexf	2	9	1	Small	100	10	2	6	gexf
642	Small.100.10.2.6.gexf	3	9	1	Small	100	10	2	6	gexf
643	Small.100.10.2.6.gexf	5	9	1	Small	100	10	2	6	gexf
646	Small.100.10.5.6.gexf	2	11	1	Small	100	10	5	6	gexf
647	Small.100.10.5.6.gexf	3	11	1	Small	100	10	5	6	gexf
648	Small.100.10.5.6.gexf	5	11	1	Small	100	10	5	6	gexf
649	Small.100.10.5.6.gexf	10	11	1	Small	100	10	5	6	gexf
651	Small.100.24.2.6.gexf	2	21	1	Small	100	24	2	6	gexf
652	Small.100.24.2.6.gexf	3	21	1	Small	100	24	2	6	gexf
653	Small.100.24.2.6.gexf	5	21	1	Small	100	24	2	6	gexf
654	Small.100.24.2.6.gexf	10	21	1	Small	100	24	2	6	gexf
656	Small.100.24.5.6.gexf	2	21	1	Small	100	24	5	6	gexf
657	Small.100.24.5.6.gexf	3	21	1	Small	100	24	5	6	gexf
658	Small.100.24.5.6.gexf	5	21	1	Small	100	24	5	6	gexf
659	Small.100.24.5.6.gexf	10	21	1	Small	100	24	5	6	gexf
661	Small.500.6.2.6.gexf	2	6	1	Small	500	6	2	6	gexf
662	Small.500.6.2.6.gexf	3	6	1	Small	500	6	2	6	gexf
663	Small.500.6.2.6.gexf	5	6	1	Small	500	6	2	6	gexf
666	Small.500.6.5.6.gexf	2	6	1	Small	500	6	5	6	gexf
667	Small.500.6.5.6.gexf	3	6	1	Small	500	6	5	6	gexf
668	Small.500.6.5.6.gexf	5	6	1	Small	500	6	5	6	gexf
671	Small.500.10.2.6.gexf	2	8	1	Small	500	10	2	6	gexf
672	Small.500.10.2.6.gexf	3	8	1	Small	500	10	2	6	gexf
673	Small.500.10.2.6.gexf	5	8	1	Small	500	10	2	6	gexf
676	Small.500.10.5.6.gexf	2	7	1	Small	500	10	5	6	gexf
677	Small.500.10.5.6.gexf	3	7	1	Small	500	10	5	6	gexf
678	Small.500.10.5.6.gexf	5	7	1	Small	500	10	5	6	gexf
681	Small.500.24.2.6.gexf	2	22	1	Small	500	24	2	6	gexf
682	Small.500.24.2.6.gexf	3	22	1	Small	500	24	2	6	gexf
683	Small.500.24.2.6.gexf	5	22	1	Small	500	24	2	6	gexf
684	Small.500.24.2.6.gexf	10	22	1	Small	500	24	2	6	gexf
686	Small.500.24.5.6.gexf	2	22	1	Small	500	24	5	6	gexf
687	Small.500.24.5.6.gexf	3	22	1	Small	500	24	5	6	gexf
688	Small.500.24.5.6.gexf	5	22	1	Small	500	24	5	6	gexf
689	Small.500.24.5.6.gexf	10	22	1	Small	500	24	5	6	gexf
691	Small.1000.6.2.6.gexf	2	6	1	Small	1000	6	2	6	gexf
692	Small.1000.6.2.6.gexf	3	6	1	Small	1000	6	2	6	gexf
693	Small.1000.6.2.6.gexf	5	6	1	Small	1000	6	2	6	gexf
696	Small.1000.6.5.6.gexf	2	4	1	Small	1000	6	5	6	gexf
697	Small.1000.6.5.6.gexf	3	4	1	Small	1000	6	5	6	gexf
701	Small.1000.10.2.6.gexf	2	9	1	Small	1000	10	2	6	gexf
702	Small.1000.10.2.6.gexf	3	9	1	Small	1000	10	2	6	gexf
703	Small.1000.10.2.6.gexf	5	9	1	Small	1000	10	2	6	gexf
706	Small.1000.10.5.6.gexf	2	7	1	Small	1000	10	5	6	gexf
707	Small.1000.10.5.6.gexf	3	7	1	Small	1000	10	5	6	gexf
708	Small.1000.10.5.6.gexf	5	7	1	Small	1000	10	5	6	gexf
711	Small.1000.24.2.6.gexf	2	22	1	Small	1000	24	2	6	gexf
712	Small.1000.24.2.6.gexf	3	22	1	Small	1000	24	2	6	gexf
713	Small.1000.24.2.6.gexf	5	22	1	Small	1000	24	2	6	gexf
714	Small.1000.24.2.6.gexf	10	22	1	Small	1000	24	2	6	gexf
716	Small.1000.24.5.6.gexf	2	22	1	Small	1000	24	5	6	gexf
717	Small.1000.24.5.6.gexf	3	22	1	Small	1000	24	5	6	gexf
718	Small.1000.24.5.6.gexf	5	22	1	Small	1000	24	5	6	gexf
719	Small.1000.24.5.6.gexf	10	22	1	Small	1000	24	5	6	gexf
721	Small.50.6.2.7.gexf	2	6	1	Small	50	6	2	7	gexf
722	Small.50.6.2.7.gexf	3	6	1	Small	50	6	2	7	gexf
723	Small.50.6.2.7.gexf	5	6	1	Small	50	6	2	7	gexf
726	Small.50.6.5.7.gexf	2	5	1	Small	50	6	5	7	gexf
727	Small.50.6.5.7.gexf	3	5	1	Small	50	6	5	7	gexf
731	Small.50.10.2.7.gexf	2	11	1	Small	50	10	2	7	gexf
732	Small.50.10.2.7.gexf	3	11	1	Small	50	10	2	7	gexf
733	Small.50.10.2.7.gexf	5	11	1	Small	50	10	2	7	gexf
734	Small.50.10.2.7.gexf	10	11	1	Small	50	10	2	7	gexf
736	Small.50.10.5.7.gexf	2	9	1	Small	50	10	5	7	gexf
737	Small.50.10.5.7.gexf	3	9	1	Small	50	10	5	7	gexf
738	Small.50.10.5.7.gexf	5	9	1	Small	50	10	5	7	gexf
741	Small.50.24.2.7.gexf	2	23	1	Small	50	24	2	7	gexf
742	Small.50.24.2.7.gexf	3	23	1	Small	50	24	2	7	gexf
743	Small.50.24.2.7.gexf	5	23	1	Small	50	24	2	7	gexf
744	Small.50.24.2.7.gexf	10	23	1	Small	50	24	2	7	gexf
746	Small.50.24.5.7.gexf	2	25	1	Small	50	24	5	7	gexf
747	Small.50.24.5.7.gexf	3	25	1	Small	50	24	5	7	gexf
748	Small.50.24.5.7.gexf	5	25	1	Small	50	24	5	7	gexf
749	Small.50.24.5.7.gexf	10	25	2	Small	50	24	5	7	gexf
751	Small.100.6.2.7.gexf	2	6	1	Small	100	6	2	7	gexf
752	Small.100.6.2.7.gexf	3	6	1	Small	100	6	2	7	gexf
753	Small.100.6.2.7.gexf	5	6	1	Small	100	6	2	7	gexf
756	Small.100.6.5.7.gexf	2	6	1	Small	100	6	5	7	gexf
757	Small.100.6.5.7.gexf	3	6	1	Small	100	6	5	7	gexf
758	Small.100.6.5.7.gexf	5	6	1	Small	100	6	5	7	gexf
761	Small.100.10.2.7.gexf	2	10	1	Small	100	10	2	7	gexf
762	Small.100.10.2.7.gexf	3	10	1	Small	100	10	2	7	gexf
763	Small.100.10.2.7.gexf	5	10	1	Small	100	10	2	7	gexf
766	Small.100.10.5.7.gexf	2	6	1	Small	100	10	5	7	gexf
767	Small.100.10.5.7.gexf	3	6	1	Small	100	10	5	7	gexf
768	Small.100.10.5.7.gexf	5	6	1	Small	100	10	5	7	gexf
771	Small.100.24.2.7.gexf	2	22	1	Small	100	24	2	7	gexf
772	Small.100.24.2.7.gexf	3	22	1	Small	100	24	2	7	gexf
773	Small.100.24.2.7.gexf	5	22	1	Small	100	24	2	7	gexf
774	Small.100.24.2.7.gexf	10	22	1	Small	100	24	2	7	gexf
776	Small.100.24.5.7.gexf	2	26	1	Small	100	24	5	7	gexf
777	Small.100.24.5.7.gexf	3	26	1	Small	100	24	5	7	gexf
778	Small.100.24.5.7.gexf	5	26	1	Small	100	24	5	7	gexf
779	Small.100.24.5.7.gexf	10	26	1	Small	100	24	5	7	gexf
781	Small.500.6.2.7.gexf	2	6	1	Small	500	6	2	7	gexf
782	Small.500.6.2.7.gexf	3	6	1	Small	500	6	2	7	gexf
783	Small.500.6.2.7.gexf	5	6	1	Small	500	6	2	7	gexf
786	Small.500.6.5.7.gexf	2	6	1	Small	500	6	5	7	gexf
787	Small.500.6.5.7.gexf	3	6	1	Small	500	6	5	7	gexf
788	Small.500.6.5.7.gexf	5	6	1	Small	500	6	5	7	gexf
791	Small.500.10.2.7.gexf	2	8	1	Small	500	10	2	7	gexf
792	Small.500.10.2.7.gexf	3	8	1	Small	500	10	2	7	gexf
793	Small.500.10.2.7.gexf	5	8	1	Small	500	10	2	7	gexf
796	Small.500.10.5.7.gexf	2	9	1	Small	500	10	5	7	gexf
797	Small.500.10.5.7.gexf	3	9	1	Small	500	10	5	7	gexf
798	Small.500.10.5.7.gexf	5	9	1	Small	500	10	5	7	gexf
801	Small.500.24.2.7.gexf	2	24	1	Small	500	24	2	7	gexf
802	Small.500.24.2.7.gexf	3	24	1	Small	500	24	2	7	gexf
803	Small.500.24.2.7.gexf	5	24	1	Small	500	24	2	7	gexf
804	Small.500.24.2.7.gexf	10	24	1	Small	500	24	2	7	gexf
806	Small.500.24.5.7.gexf	2	20	1	Small	500	24	5	7	gexf
807	Small.500.24.5.7.gexf	3	20	1	Small	500	24	5	7	gexf
808	Small.500.24.5.7.gexf	5	20	1	Small	500	24	5	7	gexf
809	Small.500.24.5.7.gexf	10	20	1	Small	500	24	5	7	gexf
811	Small.1000.6.2.7.gexf	2	5	1	Small	1000	6	2	7	gexf
812	Small.1000.6.2.7.gexf	3	5	1	Small	1000	6	2	7	gexf
816	Small.1000.6.5.7.gexf	2	3	1	Small	1000	6	5	7	gexf
821	Small.1000.10.2.7.gexf	2	10	1	Small	1000	10	2	7	gexf
822	Small.1000.10.2.7.gexf	3	10	1	Small	1000	10	2	7	gexf
823	Small.1000.10.2.7.gexf	5	10	1	Small	1000	10	2	7	gexf
826	Small.1000.10.5.7.gexf	2	9	1	Small	1000	10	5	7	gexf
827	Small.1000.10.5.7.gexf	3	9	1	Small	1000	10	5	7	gexf
828	Small.1000.10.5.7.gexf	5	9	1	Small	1000	10	5	7	gexf
831	Small.1000.24.2.7.gexf	2	24	1	Small	1000	24	2	7	gexf
832	Small.1000.24.2.7.gexf	3	24	1	Small	1000	24	2	7	gexf
833	Small.1000.24.2.7.gexf	5	24	1	Small	1000	24	2	7	gexf
834	Small.1000.24.2.7.gexf	10	24	1	Small	1000	24	2	7	gexf
836	Small.1000.24.5.7.gexf	2	23	1	Small	1000	24	5	7	gexf
837	Small.1000.24.5.7.gexf	3	23	1	Small	1000	24	5	7	gexf
838	Small.1000.24.5.7.gexf	5	23	1	Small	1000	24	5	7	gexf
839	Small.1000.24.5.7.gexf	10	23	1	Small	1000	24	5	7	gexf
841	Small.50.6.2.8.gexf	2	5	1	Small	50	6	2	8	gexf
842	Small.50.6.2.8.gexf	3	5	1	Small	50	6	2	8	gexf
846	Small.50.6.5.8.gexf	2	4	1	Small	50	6	5	8	gexf
847	Small.50.6.5.8.gexf	3	4	1	Small	50	6	5	8	gexf
851	Small.50.10.2.8.gexf	2	11	1	Small	50	10	2	8	gexf
852	Small.50.10.2.8.gexf	3	11	1	Small	50	10	2	8	gexf
853	Small.50.10.2.8.gexf	5	11	1	Small	50	10	2	8	gexf
854	Small.50.10.2.8.gexf	10	11	1	Small	50	10	2	8	gexf
856	Small.50.10.5.8.gexf	2	8	1	Small	50	10	5	8	gexf
857	Small.50.10.5.8.gexf	3	8	1	Small	50	10	5	8	gexf
858	Small.50.10.5.8.gexf	5	8	1	Small	50	10	5	8	gexf
861	Small.50.24.2.8.gexf	2	23	1	Small	50	24	2	8	gexf
862	Small.50.24.2.8.gexf	3	23	1	Small	50	24	2	8	gexf
863	Small.50.24.2.8.gexf	5	23	1	Small	50	24	2	8	gexf
864	Small.50.24.2.8.gexf	10	23	1	Small	50	24	2	8	gexf
866	Small.50.24.5.8.gexf	2	22	1	Small	50	24	5	8	gexf
867	Small.50.24.5.8.gexf	3	22	1	Small	50	24	5	8	gexf
868	Small.50.24.5.8.gexf	5	22	1	Small	50	24	5	8	gexf
869	Small.50.24.5.8.gexf	10	22	1	Small	50	24	5	8	gexf
871	Small.100.6.2.8.gexf	2	6	1	Small	100	6	2	8	gexf
872	Small.100.6.2.8.gexf	3	6	1	Small	100	6	2	8	gexf
873	Small.100.6.2.8.gexf	5	6	1	Small	100	6	2	8	gexf
876	Small.100.6.5.8.gexf	2	4	1	Small	100	6	5	8	gexf
877	Small.100.6.5.8.gexf	3	4	1	Small	100	6	5	8	gexf
881	Small.100.10.2.8.gexf	2	8	1	Small	100	10	2	8	gexf
882	Small.100.10.2.8.gexf	3	8	1	Small	100	10	2	8	gexf
883	Small.100.10.2.8.gexf	5	8	1	Small	100	10	2	8	gexf
886	Small.100.10.5.8.gexf	2	10	1	Small	100	10	5	8	gexf
887	Small.100.10.5.8.gexf	3	10	1	Small	100	10	5	8	gexf
888	Small.100.10.5.8.gexf	5	10	1	Small	100	10	5	8	gexf
891	Small.100.24.2.8.gexf	2	24	1	Small	100	24	2	8	gexf
892	Small.100.24.2.8.gexf	3	24	1	Small	100	24	2	8	gexf
893	Small.100.24.2.8.gexf	5	24	1	Small	100	24	2	8	gexf
894	Small.100.24.2.8.gexf	10	24	1	Small	100	24	2	8	gexf
896	Small.100.24.5.8.gexf	2	23	1	Small	100	24	5	8	gexf
897	Small.100.24.5.8.gexf	3	23	1	Small	100	24	5	8	gexf
898	Small.100.24.5.8.gexf	5	23	1	Small	100	24	5	8	gexf
899	Small.100.24.5.8.gexf	10	23	1	Small	100	24	5	8	gexf
901	Small.500.6.2.8.gexf	2	5	1	Small	500	6	2	8	gexf
902	Small.500.6.2.8.gexf	3	5	1	Small	500	6	2	8	gexf
906	Small.500.6.5.8.gexf	2	6	1	Small	500	6	5	8	gexf
907	Small.500.6.5.8.gexf	3	6	1	Small	500	6	5	8	gexf
908	Small.500.6.5.8.gexf	5	6	1	Small	500	6	5	8	gexf
911	Small.500.10.2.8.gexf	2	9	1	Small	500	10	2	8	gexf
912	Small.500.10.2.8.gexf	3	9	1	Small	500	10	2	8	gexf
913	Small.500.10.2.8.gexf	5	9	1	Small	500	10	2	8	gexf
916	Small.500.10.5.8.gexf	2	10	1	Small	500	10	5	8	gexf
917	Small.500.10.5.8.gexf	3	10	1	Small	500	10	5	8	gexf
918	Small.500.10.5.8.gexf	5	10	1	Small	500	10	5	8	gexf
921	Small.500.24.2.8.gexf	2	23	1	Small	500	24	2	8	gexf
922	Small.500.24.2.8.gexf	3	23	1	Small	500	24	2	8	gexf
923	Small.500.24.2.8.gexf	5	23	1	Small	500	24	2	8	gexf
924	Small.500.24.2.8.gexf	10	23	1	Small	500	24	2	8	gexf
926	Small.500.24.5.8.gexf	2	24	1	Small	500	24	5	8	gexf
927	Small.500.24.5.8.gexf	3	24	1	Small	500	24	5	8	gexf
928	Small.500.24.5.8.gexf	5	24	1	Small	500	24	5	8	gexf
929	Small.500.24.5.8.gexf	10	24	1	Small	500	24	5	8	gexf
931	Small.1000.6.2.8.gexf	2	6	1	Small	1000	6	2	8	gexf
932	Small.1000.6.2.8.gexf	3	6	1	Small	1000	6	2	8	gexf
933	Small.1000.6.2.8.gexf	5	6	1	Small	1000	6	2	8	gexf
936	Small.1000.6.5.8.gexf	2	7	1	Small	1000	6	5	8	gexf
937	Small.1000.6.5.8.gexf	3	7	1	Small	1000	6	5	8	gexf
938	Small.1000.6.5.8.gexf	5	7	1	Small	1000	6	5	8	gexf
941	Small.1000.10.2.8.gexf	2	9	1	Small	1000	10	2	8	gexf
942	Small.1000.10.2.8.gexf	3	9	1	Small	1000	10	2	8	gexf
943	Small.1000.10.2.8.gexf	5	9	1	Small	1000	10	2	8	gexf
946	Small.1000.10.5.8.gexf	2	8	1	Small	1000	10	5	8	gexf
947	Small.1000.10.5.8.gexf	3	8	1	Small	1000	10	5	8	gexf
948	Small.1000.10.5.8.gexf	5	8	1	Small	1000	10	5	8	gexf
951	Small.1000.24.2.8.gexf	2	21	1	Small	1000	24	2	8	gexf
952	Small.1000.24.2.8.gexf	3	21	1	Small	1000	24	2	8	gexf
953	Small.1000.24.2.8.gexf	5	21	1	Small	1000	24	2	8	gexf
954	Small.1000.24.2.8.gexf	10	21	1	Small	1000	24	2	8	gexf
956	Small.1000.24.5.8.gexf	2	22	1	Small	1000	24	5	8	gexf
957	Small.1000.24.5.8.gexf	3	22	1	Small	1000	24	5	8	gexf
958	Small.1000.24.5.8.gexf	5	22	1	Small	1000	24	5	8	gexf
959	Small.1000.24.5.8.gexf	10	22	1	Small	1000	24	5	8	gexf
961	Small.50.6.2.9.gexf	2	5	1	Small	50	6	2	9	gexf
962	Small.50.6.2.9.gexf	3	5	1	Small	50	6	2	9	gexf
966	Small.50.6.5.9.gexf	2	6	1	Small	50	6	5	9	gexf
967	Small.50.6.5.9.gexf	3	6	1	Small	50	6	5	9	gexf
968	Small.50.6.5.9.gexf	5	6	1	Small	50	6	5	9	gexf
971	Small.50.10.2.9.gexf	2	8	1	Small	50	10	2	9	gexf
972	Small.50.10.2.9.gexf	3	8	1	Small	50	10	2	9	gexf
973	Small.50.10.2.9.gexf	5	8	1	Small	50	10	2	9	gexf
976	Small.50.10.5.9.gexf	2	11	1	Small	50	10	5	9	gexf
977	Small.50.10.5.9.gexf	3	11	1	Small	50	10	5	9	gexf
978	Small.50.10.5.9.gexf	5	11	1	Small	50	10	5	9	gexf
979	Small.50.10.5.9.gexf	10	11	1	Small	50	10	5	9	gexf
981	Small.50.24.2.9.gexf	2	23	1	Small	50	24	2	9	gexf
982	Small.50.24.2.9.gexf	3	23	1	Small	50	24	2	9	gexf
983	Small.50.24.2.9.gexf	5	23	1	Small	50	24	2	9	gexf
984	Small.50.24.2.9.gexf	10	23	1	Small	50	24	2	9	gexf
986	Small.50.24.5.9.gexf	2	25	1	Small	50	24	5	9	gexf
987	Small.50.24.5.9.gexf	3	25	1	Small	50	24	5	9	gexf
988	Small.50.24.5.9.gexf	5	25	1	Small	50	24	5	9	gexf
989	Small.50.24.5.9.gexf	10	25	2	Small	50	24	5	9	gexf
991	Small.100.6.2.9.gexf	2	6	1	Small	100	6	2	9	gexf
992	Small.100.6.2.9.gexf	3	6	1	Small	100	6	2	9	gexf
993	Small.100.6.2.9.gexf	5	6	1	Small	100	6	2	9	gexf
996	Small.100.6.5.9.gexf	2	5	1	Small	100	6	5	9	gexf
997	Small.100.6.5.9.gexf	3	5	1	Small	100	6	5	9	gexf
1001	Small.100.10.2.9.gexf	2	8	1	Small	100	10	2	9	gexf
1002	Small.100.10.2.9.gexf	3	8	1	Small	100	10	2	9	gexf
1003	Small.100.10.2.9.gexf	5	8	1	Small	100	10	2	9	gexf
1006	Small.100.10.5.9.gexf	2	10	1	Small	100	10	5	9	gexf
1007	Small.100.10.5.9.gexf	3	10	1	Small	100	10	5	9	gexf
1008	Small.100.10.5.9.gexf	5	10	1	Small	100	10	5	9	gexf
1011	Small.100.24.2.9.gexf	2	23	1	Small	100	24	2	9	gexf
1012	Small.100.24.2.9.gexf	3	23	1	Small	100	24	2	9	gexf
1013	Small.100.24.2.9.gexf	5	23	1	Small	100	24	2	9	gexf
1014	Small.100.24.2.9.gexf	10	23	1	Small	100	24	2	9	gexf
1016	Small.100.24.5.9.gexf	2	22	1	Small	100	24	5	9	gexf
1017	Small.100.24.5.9.gexf	3	22	1	Small	100	24	5	9	gexf
1018	Small.100.24.5.9.gexf	5	22	1	Small	100	24	5	9	gexf
1019	Small.100.24.5.9.gexf	10	22	1	Small	100	24	5	9	gexf
1021	Small.500.6.2.9.gexf	2	5	1	Small	500	6	2	9	gexf
1022	Small.500.6.2.9.gexf	3	5	1	Small	500	6	2	9	gexf
1026	Small.500.6.5.9.gexf	2	6	1	Small	500	6	5	9	gexf
1027	Small.500.6.5.9.gexf	3	6	1	Small	500	6	5	9	gexf
1028	Small.500.6.5.9.gexf	5	6	1	Small	500	6	5	9	gexf
1031	Small.500.10.2.9.gexf	2	6	1	Small	500	10	2	9	gexf
1032	Small.500.10.2.9.gexf	3	6	1	Small	500	10	2	9	gexf
1033	Small.500.10.2.9.gexf	5	6	1	Small	500	10	2	9	gexf
1036	Small.500.10.5.9.gexf	2	7	1	Small	500	10	5	9	gexf
1037	Small.500.10.5.9.gexf	3	7	1	Small	500	10	5	9	gexf
1038	Small.500.10.5.9.gexf	5	7	1	Small	500	10	5	9	gexf
1041	Small.500.24.2.9.gexf	2	20	1	Small	500	24	2	9	gexf
1042	Small.500.24.2.9.gexf	3	20	1	Small	500	24	2	9	gexf
1043	Small.500.24.2.9.gexf	5	20	1	Small	500	24	2	9	gexf
1044	Small.500.24.2.9.gexf	10	20	1	Small	500	24	2	9	gexf
1046	Small.500.24.5.9.gexf	2	24	1	Small	500	24	5	9	gexf
1047	Small.500.24.5.9.gexf	3	24	1	Small	500	24	5	9	gexf
1048	Small.500.24.5.9.gexf	5	24	1	Small	500	24	5	9	gexf
1049	Small.500.24.5.9.gexf	10	24	1	Small	500	24	5	9	gexf
1051	Small.1000.6.2.9.gexf	2	5	1	Small	1000	6	2	9	gexf
1052	Small.1000.6.2.9.gexf	3	5	1	Small	1000	6	2	9	gexf
1056	Small.1000.6.5.9.gexf	2	5	1	Small	1000	6	5	9	gexf
1057	Small.1000.6.5.9.gexf	3	5	1	Small	1000	6	5	9	gexf
1061	Small.1000.10.2.9.gexf	2	10	1	Small	1000	10	2	9	gexf
1062	Small.1000.10.2.9.gexf	3	10	1	Small	1000	10	2	9	gexf
1063	Small.1000.10.2.9.gexf	5	10	1	Small	1000	10	2	9	gexf
1066	Small.1000.10.5.9.gexf	2	10	1	Small	1000	10	5	9	gexf
1067	Small.1000.10.5.9.gexf	3	10	1	Small	1000	10	5	9	gexf
1068	Small.1000.10.5.9.gexf	5	10	1	Small	1000	10	5	9	gexf
1071	Small.1000.24.2.9.gexf	2	19	1	Small	1000	24	2	9	gexf
1072	Small.1000.24.2.9.gexf	3	19	1	Small	1000	24	2	9	gexf
1073	Small.1000.24.2.9.gexf	5	19	1	Small	1000	24	2	9	gexf
1074	Small.1000.24.2.9.gexf	10	19	1	Small	1000	24	2	9	gexf
1076	Small.1000.24.5.9.gexf	2	24	1	Small	1000	24	5	9	gexf
1077	Small.1000.24.5.9.gexf	3	24	1	Small	1000	24	5	9	gexf
1078	Small.1000.24.5.9.gexf	5	24	1	Small	1000	24	5	9	gexf
1079	Small.1000.24.5.9.gexf	10	24	1	Small	1000	24	5	9	gexf
1081	Small.50.6.2.10.gexf	2	5	1	Small	50	6	2	10	gexf
1082	Small.50.6.2.10.gexf	3	5	1	Small	50	6	2	10	gexf
1086	Small.50.6.5.10.gexf	2	8	1	Small	50	6	5	10	gexf
1087	Small.50.6.5.10.gexf	3	8	1	Small	50	6	5	10	gexf
1088	Small.50.6.5.10.gexf	5	8	1	Small	50	6	5	10	gexf
1091	Small.50.10.2.10.gexf	2	10	1	Small	50	10	2	10	gexf
1092	Small.50.10.2.10.gexf	3	10	1	Small	50	10	2	10	gexf
1093	Small.50.10.2.10.gexf	5	10	1	Small	50	10	2	10	gexf
1096	Small.50.10.5.10.gexf	2	7	1	Small	50	10	5	10	gexf
1097	Small.50.10.5.10.gexf	3	7	1	Small	50	10	5	10	gexf
1098	Small.50.10.5.10.gexf	5	7	1	Small	50	10	5	10	gexf
1101	Small.50.24.2.10.gexf	2	21	1	Small	50	24	2	10	gexf
1102	Small.50.24.2.10.gexf	3	21	1	Small	50	24	2	10	gexf
1103	Small.50.24.2.10.gexf	5	21	1	Small	50	24	2	10	gexf
1104	Small.50.24.2.10.gexf	10	21	1	Small	50	24	2	10	gexf
1106	Small.50.24.5.10.gexf	2	23	1	Small	50	24	5	10	gexf
1107	Small.50.24.5.10.gexf	3	23	1	Small	50	24	5	10	gexf
1108	Small.50.24.5.10.gexf	5	23	1	Small	50	24	5	10	gexf
1109	Small.50.24.5.10.gexf	10	23	1	Small	50	24	5	10	gexf
1111	Small.100.6.2.10.gexf	2	4	1	Small	100	6	2	10	gexf
1112	Small.100.6.2.10.gexf	3	4	1	Small	100	6	2	10	gexf
1116	Small.100.6.5.10.gexf	2	6	1	Small	100	6	5	10	gexf
1117	Small.100.6.5.10.gexf	3	6	1	Small	100	6	5	10	gexf
1118	Small.100.6.5.10.gexf	5	6	1	Small	100	6	5	10	gexf
1121	Small.100.10.2.10.gexf	2	8	1	Small	100	10	2	10	gexf
1122	Small.100.10.2.10.gexf	3	8	1	Small	100	10	2	10	gexf
1123	Small.100.10.2.10.gexf	5	8	1	Small	100	10	2	10	gexf
1126	Small.100.10.5.10.gexf	2	11	1	Small	100	10	5	10	gexf
1127	Small.100.10.5.10.gexf	3	11	1	Small	100	10	5	10	gexf
1128	Small.100.10.5.10.gexf	5	11	1	Small	100	10	5	10	gexf
1129	Small.100.10.5.10.gexf	10	11	1	Small	100	10	5	10	gexf
1131	Small.100.24.2.10.gexf	2	24	1	Small	100	24	2	10	gexf
