path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
497	Small.50.10.5.5.gexf	3	8	1	Small	50	10	5	5	gexf
498	Small.50.10.5.5.gexf	5	8	1	Small	50	10	5	5	gexf
501	Small.50.24.2.5.gexf	2	24	1	Small	50	24	2	5	gexf
502	Small.50.24.2.5.gexf	3	24	1	Small	50	24	2	5	gexf
503	Small.50.24.2.5.gexf	5	24	1	Small	50	24	2	5	gexf
504	Small.50.24.2.5.gexf	10	24	1	Small	50	24	2	5	gexf
506	Small.50.24.5.5.gexf	2	25	1	Small	50	24	5	5	gexf
507	Small.50.24.5.5.gexf	3	25	1	Small	50	24	5	5	gexf
508	Small.50.24.5.5.gexf	5	25	1	Small	50	24	5	5	gexf
509	Small.50.24.5.5.gexf	10	25	2	Small	50	24	5	5	gexf
511	Small.100.6.2.5.gexf	2	5	1	Small	100	6	2	5	gexf
512	Small.100.6.2.5.gexf	3	5	1	Small	100	6	2	5	gexf
516	Small.100.6.5.5.gexf	2	5	1	Small	100	6	5	5	gexf
517	Small.100.6.5.5.gexf	3	5	1	Small	100	6	5	5	gexf
521	Small.100.10.2.5.gexf	2	9	1	Small	100	10	2	5	gexf
522	Small.100.10.2.5.gexf	3	9	1	Small	100	10	2	5	gexf
523	Small.100.10.2.5.gexf	5	9	1	Small	100	10	2	5	gexf
526	Small.100.10.5.5.gexf	2	8	1	Small	100	10	5	5	gexf
527	Small.100.10.5.5.gexf	3	8	1	Small	100	10	5	5	gexf
528	Small.100.10.5.5.gexf	5	8	1	Small	100	10	5	5	gexf
531	Small.100.24.2.5.gexf	2	21	1	Small	100	24	2	5	gexf
532	Small.100.24.2.5.gexf	3	21	1	Small	100	24	2	5	gexf
533	Small.100.24.2.5.gexf	5	21	1	Small	100	24	2	5	gexf
534	Small.100.24.2.5.gexf	10	21	1	Small	100	24	2	5	gexf
536	Small.100.24.5.5.gexf	2	23	1	Small	100	24	5	5	gexf
537	Small.100.24.5.5.gexf	3	23	1	Small	100	24	5	5	gexf
538	Small.100.24.5.5.gexf	5	23	1	Small	100	24	5	5	gexf
539	Small.100.24.5.5.gexf	10	23	1	Small	100	24	5	5	gexf
541	Small.500.6.2.5.gexf	2	5	1	Small	500	6	2	5	gexf
542	Small.500.6.2.5.gexf	3	5	1	Small	500	6	2	5	gexf
546	Small.500.6.5.5.gexf	2	5	1	Small	500	6	5	5	gexf
547	Small.500.6.5.5.gexf	3	5	1	Small	500	6	5	5	gexf
551	Small.500.10.2.5.gexf	2	8	1	Small	500	10	2	5	gexf
552	Small.500.10.2.5.gexf	3	8	1	Small	500	10	2	5	gexf
553	Small.500.10.2.5.gexf	5	8	1	Small	500	10	2	5	gexf
556	Small.500.10.5.5.gexf	2	12	1	Small	500	10	5	5	gexf
557	Small.500.10.5.5.gexf	3	12	1	Small	500	10	5	5	gexf
558	Small.500.10.5.5.gexf	5	12	1	Small	500	10	5	5	gexf
559	Small.500.10.5.5.gexf	10	12	1	Small	500	10	5	5	gexf
561	Small.500.24.2.5.gexf	2	18	1	Small	500	24	2	5	gexf
562	Small.500.24.2.5.gexf	3	18	1	Small	500	24	2	5	gexf
563	Small.500.24.2.5.gexf	5	18	1	Small	500	24	2	5	gexf
564	Small.500.24.2.5.gexf	10	18	1	Small	500	24	2	5	gexf
566	Small.500.24.5.5.gexf	2	19	1	Small	500	24	5	5	gexf
567	Small.500.24.5.5.gexf	3	19	1	Small	500	24	5	5	gexf
