construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5	mem	constant	best
142	cut	cap	first	Small.50.24.2.5.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1031	0	0	0	0	[24.0, 21.0]	Small	50	24	2	5	gexf	24	1.14285714285714	0.5
143	cut	cap	first	Small.50.24.2.5.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1029	0	0	0	0	[24.0, 19.0]	Small	50	24	2	5	gexf	24	1.26315789473684	0.5
144	cut	cap	first	Small.50.24.2.5.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1044	0	0	0	0	[24.0, 14.0]	Small	50	24	2	5	gexf	24	1.71428571428571	0.5
146	cut	cap	first	Small.50.24.5.5.gexf	50	1200	2	1	[25, 25, 25, 25]	25	23	23.0	inf	1045	0	0	0	0	[25.0, 23.0]	Small	50	24	5	5	gexf	25	1.08695652173913	0.5
147	cut	cap	first	Small.50.24.5.5.gexf	50	1200	3	2	[25, 25, 25, 25]	25	22	22.0	inf	1037	0	0	0	0	[25.0, 22.0]	Small	50	24	5	5	gexf	25	1.13636363636364	0.5
148	cut	cap	first	Small.50.24.5.5.gexf	50	1200	5	3	[25, 25, 25, 25]	25	20	20.0	inf	1028	0	0	0	0	[25.0, 20.0]	Small	50	24	5	5	gexf	25	1.25	0.5
149	cut	cap	first	Small.50.24.5.5.gexf	50	1200	10	4	[25, 25, 25, 25]	25	15	15.0	inf	1034	0	0	0	0	[25.0, 15.0]	Small	50	24	5	5	gexf	25	1.66666666666667	0.5
151	cut	cap	first	Small.50.6.2.6.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3758	0	0	0	0	[6.0, 4.0]	Small	50	6	2	6	gexf	6	1.5	0.5
152	cut	cap	first	Small.50.6.2.6.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3748	0	0	0	0	[6.0, 3.0]	Small	50	6	2	6	gexf	6	2	0.5
153	cut	cap	first	Small.50.6.2.6.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3797	0	0	0	0	[6.0, 1.0]	Small	50	6	2	6	gexf	6	6	0.5
156	cut	cap	first	Small.50.6.5.6.gexf	50	300	2	1	[4, 4, 4, 4]	4	2	2.0	inf	3714	0	0	0	0	[4.0, 2.0]	Small	50	6	5	6	gexf	4	2	0.5
157	cut	cap	first	Small.50.6.5.6.gexf	50	300	3	2	[4, 4, 4, 4]	4	1	1.0	inf	3722	0	0	0	0	[4.0, 1.0]	Small	50	6	5	6	gexf	4	4	0.5
161	cut	cap	first	Small.50.10.2.6.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2396	0	0	0	0	[8.0, 6.0]	Small	50	10	2	6	gexf	8	1.33333333333333	0.5
162	cut	cap	first	Small.50.10.2.6.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2420	0	0	0	0	[8.0, 5.0]	Small	50	10	2	6	gexf	8	1.6	0.5
163	cut	cap	first	Small.50.10.2.6.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2446	0	0	0	0	[8.0, 3.0]	Small	50	10	2	6	gexf	8	2.66666666666667	0.5
166	cut	cap	first	Small.50.10.5.6.gexf	50	500	2	1	[10, 10, 10, 10]	10	8	8.0	inf	2303	0	0	0	0	[10.0, 8.0]	Small	50	10	5	6	gexf	10	1.25	0.5
167	cut	cap	first	Small.50.10.5.6.gexf	50	500	3	2	[10, 10, 10, 10]	10	7	7.0	inf	2329	0	0	0	0	[10.0, 7.0]	Small	50	10	5	6	gexf	10	1.42857142857143	0.5
168	cut	cap	first	Small.50.10.5.6.gexf	50	500	5	3	[10, 10, 10, 10]	10	5	5.0	inf	2323	0	0	0	0	[10.0, 5.0]	Small	50	10	5	6	gexf	10	2	0.5
171	cut	cap	first	Small.50.24.2.6.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1039	0	0	0	0	[24.0, 22.0]	Small	50	24	2	6	gexf	24	1.09090909090909	0.5
172	cut	cap	first	Small.50.24.2.6.gexf	50	1200	3	2	[24, 24, 24, 24]	24	21	21.0	inf	1041	0	0	0	0	[24.0, 21.0]	Small	50	24	2	6	gexf	24	1.14285714285714	0.5
173	cut	cap	first	Small.50.24.2.6.gexf	50	1200	5	3	[24, 24, 24, 24]	24	19	19.0	inf	1048	0	0	0	0	[24.0, 19.0]	Small	50	24	2	6	gexf	24	1.26315789473684	0.5
174	cut	cap	first	Small.50.24.2.6.gexf	50	1200	10	4	[24, 24, 24, 24]	24	14	14.0	inf	1047	0	0	0	0	[24.0, 14.0]	Small	50	24	2	6	gexf	24	1.71428571428571	0.5
176	cut	cap	first	Small.50.24.5.6.gexf	50	1200	2	1	[20, 20, 20, 20]	20	18	18.0	inf	1044	0	0	0	0	[20.0, 18.0]	Small	50	24	5	6	gexf	20	1.11111111111111	0.5
177	cut	cap	first	Small.50.24.5.6.gexf	50	1200	3	2	[20, 20, 20, 20]	20	17	17.0	inf	1049	0	0	0	0	[20.0, 17.0]	Small	50	24	5	6	gexf	20	1.17647058823529	0.5
178	cut	cap	first	Small.50.24.5.6.gexf	50	1200	5	3	[20, 20, 20, 20]	20	15	15.0	inf	1052	0	0	0	0	[20.0, 15.0]	Small	50	24	5	6	gexf	20	1.33333333333333	0.5
179	cut	cap	first	Small.50.24.5.6.gexf	50	1200	10	4	[20, 20, 20, 20]	20	10	10.0	inf	1064	0	0	0	0	[20.0, 10.0]	Small	50	24	5	6	gexf	20	2	0.5
181	cut	cap	first	Small.50.6.2.7.gexf	50	300	2	1	[6, 6, 6, 6]	6	4	4.0	inf	3707	0	0	0	0	[6.0, 4.0]	Small	50	6	2	7	gexf	6	1.5	0.5
182	cut	cap	first	Small.50.6.2.7.gexf	50	300	3	2	[6, 6, 6, 6]	6	3	3.0	inf	3706	0	0	0	0	[6.0, 3.0]	Small	50	6	2	7	gexf	6	2	0.5
183	cut	cap	first	Small.50.6.2.7.gexf	50	300	5	3	[6, 6, 6, 6]	6	1	1.0	inf	3750	0	0	0	0	[6.0, 1.0]	Small	50	6	2	7	gexf	6	6	0.5
186	cut	cap	first	Small.50.6.5.7.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3665	0	0	0	0	[5.0, 3.0]	Small	50	6	5	7	gexf	5	1.66666666666667	0.5
187	cut	cap	first	Small.50.6.5.7.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3716	0	0	0	0	[5.0, 2.0]	Small	50	6	5	7	gexf	5	2.5	0.5
191	cut	cap	first	Small.50.10.2.7.gexf	50	500	2	1	[11, 11, 11, 11]	11	9	9.0	inf	2366	0	0	0	0	[11.0, 9.0]	Small	50	10	2	7	gexf	11	1.22222222222222	0.5
192	cut	cap	first	Small.50.10.2.7.gexf	50	500	3	2	[11, 11, 11, 11]	11	8	8.0	inf	2382	0	0	0	0	[11.0, 8.0]	Small	50	10	2	7	gexf	11	1.375	0.5
193	cut	cap	first	Small.50.10.2.7.gexf	50	500	5	3	[11, 11, 11, 11]	11	6	6.0	inf	2385	0	0	0	0	[11.0, 6.0]	Small	50	10	2	7	gexf	11	1.83333333333333	0.5
194	cut	cap	first	Small.50.10.2.7.gexf	50	500	10	4	[11, 11, 11, 11]	11	1	1.0	inf	2435	0	0	0	0	[11.0, 1.0]	Small	50	10	2	7	gexf	11	11	0.5
196	cut	cap	first	Small.50.10.5.7.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2274	0	0	0	0	[9.0, 7.0]	Small	50	10	5	7	gexf	9	1.28571428571429	0.5
197	cut	cap	first	Small.50.10.5.7.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2288	0	0	0	0	[9.0, 6.0]	Small	50	10	5	7	gexf	9	1.5	0.5
198	cut	cap	first	Small.50.10.5.7.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2329	0	0	0	0	[9.0, 4.0]	Small	50	10	5	7	gexf	9	2.25	0.5
