path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
Complete.500.1.6.gexf,5,241.66344049720317,1,Complete,500,1,6,gexf
Complete.500.1.6.gexf,10,241.66344049720317,1,Complete,500,1,6,gexf
Complete.500.1.6.gexf,50,241.66344049720317,1,Complete,500,1,6,gexf
Complete.500.20.6.gexf,2,4898,1,Complete,500,20,6,gexf
Complete.500.20.6.gexf,3,4898,1,Complete,500,20,6,gexf
Complete.500.20.6.gexf,5,4898,1,Complete,500,20,6,gexf
Complete.500.20.6.gexf,10,4898,1,Complete,500,20,6,gexf
Complete.500.20.6.gexf,50,4898,1,Complete,500,20,6,gexf
Complete.1000.1.6.gexf,2,488.1192018270074,1,Complete,1000,1,6,gexf
Complete.1000.1.6.gexf,3,488.1192018270074,1,Complete,1000,1,6,gexf
Complete.1000.1.6.gexf,5,488.1192018270074,1,Complete,1000,1,6,gexf
Complete.1000.1.6.gexf,10,488.1192018270074,1,Complete,1000,1,6,gexf
Complete.1000.1.6.gexf,50,488.1192018270074,1,Complete,1000,1,6,gexf
Complete.1000.20.6.gexf,2,9802,1,Complete,1000,20,6,gexf
Complete.1000.20.6.gexf,3,9802,1,Complete,1000,20,6,gexf
Complete.1000.20.6.gexf,5,9802,1,Complete,1000,20,6,gexf
Complete.1000.20.6.gexf,10,9802,1,Complete,1000,20,6,gexf
Complete.1000.20.6.gexf,50,9802,1,Complete,1000,20,6,gexf
Complete.50.1.7.gexf,2,23.938142232197784,1,Complete,50,1,7,gexf
Complete.50.1.7.gexf,3,23.938142232197784,1,Complete,50,1,7,gexf
Complete.50.1.7.gexf,5,23.938142232197784,1,Complete,50,1,7,gexf
Complete.50.1.7.gexf,10,23.938142232197784,1,Complete,50,1,7,gexf
Complete.50.1.7.gexf,50,F,F,Complete,50,1,7,gexf
Complete.50.20.7.gexf,2,452,1,Complete,50,20,7,gexf
Complete.50.20.7.gexf,3,452,1,Complete,50,20,7,gexf
Complete.50.20.7.gexf,5,452,1,Complete,50,20,7,gexf
Complete.50.20.7.gexf,10,452,1,Complete,50,20,7,gexf
Complete.50.20.7.gexf,50,F,F,Complete,50,20,7,gexf
Complete.100.1.7.gexf,2,48.667106358123846,1,Complete,100,1,7,gexf
Complete.100.1.7.gexf,3,48.667106358123846,1,Complete,100,1,7,gexf
Complete.100.1.7.gexf,5,48.667106358123846,1,Complete,100,1,7,gexf
Complete.100.1.7.gexf,10,48.667106358123846,2,Complete,100,1,7,gexf
Complete.100.1.7.gexf,50,48.615577347538554,3,Complete,100,1,7,gexf
Complete.100.20.7.gexf,2,954,1,Complete,100,20,7,gexf
Complete.100.20.7.gexf,3,954,1,Complete,100,20,7,gexf
Complete.100.20.7.gexf,5,954,1,Complete,100,20,7,gexf
Complete.100.20.7.gexf,10,954,2,Complete,100,20,7,gexf
Complete.100.20.7.gexf,50,951.2093023255811,10,Complete,100,20,7,gexf
Complete.500.1.7.gexf,2,243.16776426995332,1,Complete,500,1,7,gexf
Complete.500.1.7.gexf,3,243.16776426995332,1,Complete,500,1,7,gexf
Complete.500.1.7.gexf,5,243.16776426995332,1,Complete,500,1,7,gexf
Complete.500.1.7.gexf,10,243.16776426995332,1,Complete,500,1,7,gexf
Complete.500.1.7.gexf,50,243.16776426995332,3,Complete,500,1,7,gexf
Complete.500.20.7.gexf,2,5101,1,Complete,500,20,7,gexf
Complete.500.20.7.gexf,3,5101,1,Complete,500,20,7,gexf
Complete.500.20.7.gexf,5,5101,1,Complete,500,20,7,gexf
Complete.500.20.7.gexf,10,5101,1,Complete,500,20,7,gexf
Complete.500.20.7.gexf,50,5101,1,Complete,500,20,7,gexf
Complete.1000.1.7.gexf,2,497.0334036399735,1,Complete,1000,1,7,gexf
Complete.1000.1.7.gexf,3,497.0334036399735,1,Complete,1000,1,7,gexf
Complete.1000.1.7.gexf,5,497.0334036399735,1,Complete,1000,1,7,gexf
Complete.1000.1.7.gexf,10,497.0334036399735,1,Complete,1000,1,7,gexf
Complete.1000.1.7.gexf,50,497.0334036399735,1,Complete,1000,1,7,gexf
Complete.1000.20.7.gexf,2,9609,1,Complete,1000,20,7,gexf
Complete.1000.20.7.gexf,3,9609,1,Complete,1000,20,7,gexf
Complete.1000.20.7.gexf,5,9609,1,Complete,1000,20,7,gexf
Complete.1000.20.7.gexf,10,9609,1,Complete,1000,20,7,gexf
Complete.1000.20.7.gexf,50,9609,1,Complete,1000,20,7,gexf
Complete.50.1.8.gexf,2,21.51064007529243,1,Complete,50,1,8,gexf
Complete.50.1.8.gexf,3,21.51064007529243,1,Complete,50,1,8,gexf
Complete.50.1.8.gexf,5,21.51064007529243,1,Complete,50,1,8,gexf
Complete.50.1.8.gexf,10,21.51064007529243,1,Complete,50,1,8,gexf
Complete.50.1.8.gexf,50,F,F,Complete,50,1,8,gexf
Complete.50.20.8.gexf,2,461,1,Complete,50,20,8,gexf
Complete.50.20.8.gexf,3,461,1,Complete,50,20,8,gexf
Complete.50.20.8.gexf,5,461,1,Complete,50,20,8,gexf
Complete.50.20.8.gexf,10,461,1,Complete,50,20,8,gexf
Complete.50.20.8.gexf,50,F,F,Complete,50,20,8,gexf
Complete.100.1.8.gexf,2,44.71397762097518,1,Complete,100,1,8,gexf
Complete.100.1.8.gexf,3,44.71397762097518,1,Complete,100,1,8,gexf
Complete.100.1.8.gexf,5,44.71397762097518,1,Complete,100,1,8,gexf
Complete.100.1.8.gexf,10,44.71397762097518,1,Complete,100,1,8,gexf
Complete.100.1.8.gexf,50,43.842550125192716,10,Complete,100,1,8,gexf
Complete.100.20.8.gexf,2,913,1,Complete,100,20,8,gexf
Complete.100.20.8.gexf,3,913,1,Complete,100,20,8,gexf
Complete.100.20.8.gexf,5,913,1,Complete,100,20,8,gexf
Complete.100.20.8.gexf,10,913,1,Complete,100,20,8,gexf
Complete.100.20.8.gexf,50,907.5681818181815,12,Complete,100,20,8,gexf
Complete.500.1.8.gexf,2,244.8189671770334,2,Complete,500,1,8,gexf
Complete.500.1.8.gexf,3,244.8189671770334,1,Complete,500,1,8,gexf
Complete.500.1.8.gexf,5,244.8189671770334,3,Complete,500,1,8,gexf
Complete.500.1.8.gexf,10,244.8189671770334,2,Complete,500,1,8,gexf
Complete.500.1.8.gexf,50,244.8189671770334,1,Complete,500,1,8,gexf
Complete.500.20.8.gexf,2,4971,1,Complete,500,20,8,gexf
Complete.500.20.8.gexf,3,4971,1,Complete,500,20,8,gexf
Complete.500.20.8.gexf,5,4971,1,Complete,500,20,8,gexf
Complete.500.20.8.gexf,10,4971,1,Complete,500,20,8,gexf
Complete.500.20.8.gexf,50,4971,1,Complete,500,20,8,gexf
Complete.1000.1.8.gexf,2,499.0729934366366,1,Complete,1000,1,8,gexf
Complete.1000.1.8.gexf,3,499.0729934366366,1,Complete,1000,1,8,gexf
Complete.1000.1.8.gexf,5,499.0729934366366,1,Complete,1000,1,8,gexf
Complete.1000.1.8.gexf,10,499.0729934366366,1,Complete,1000,1,8,gexf
Complete.1000.1.8.gexf,50,499.0729934366366,1,Complete,1000,1,8,gexf
Complete.1000.20.8.gexf,2,10101,1,Complete,1000,20,8,gexf
Complete.1000.20.8.gexf,3,10101,1,Complete,1000,20,8,gexf
Complete.1000.20.8.gexf,5,10101,1,Complete,1000,20,8,gexf
Complete.1000.20.8.gexf,10,10101,1,Complete,1000,20,8,gexf
Complete.1000.20.8.gexf,50,10101,1,Complete,1000,20,8,gexf
Complete.50.1.9.gexf,2,22.816482469643685,1,Complete,50,1,9,gexf
Complete.50.1.9.gexf,3,22.816482469643685,1,Complete,50,1,9,gexf
Complete.50.1.9.gexf,5,22.816482469643685,1,Complete,50,1,9,gexf
Complete.50.1.9.gexf,10,22.816482469643685,1,Complete,50,1,9,gexf
Complete.50.1.9.gexf,50,F,F,Complete,50,1,9,gexf
Complete.50.20.9.gexf,2,473,1,Complete,50,20,9,gexf
Complete.50.20.9.gexf,3,473,1,Complete,50,20,9,gexf
Complete.50.20.9.gexf,5,473,1,Complete,50,20,9,gexf
Complete.50.20.9.gexf,10,473,1,Complete,50,20,9,gexf
