path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5
271	Rand.Uni.500.5.5.gexf	2	4.69480532828008	1	Rand	Uni	500	5	5	gexf
272	Rand.Uni.500.5.5.gexf	3	4.69480532828008	1	Rand	Uni	500	5	5	gexf
273	Rand.Uni.500.5.5.gexf	5	4.19837816405433	4	Rand	Uni	500	5	5	gexf
276	Rand.Uni.500.10.5.gexf	2	10.1549281848325	1	Rand	Uni	500	10	5	gexf
277	Rand.Uni.500.10.5.gexf	3	10.1549281848325	1	Rand	Uni	500	10	5	gexf
278	Rand.Uni.500.10.5.gexf	5	10.1549281848325	1	Rand	Uni	500	10	5	gexf
279	Rand.Uni.500.10.5.gexf	10	10.1461232340004	3	Rand	Uni	500	10	5	gexf
281	Rand.Uni.500.25.5.gexf	2	19.5915338316765	1	Rand	Uni	500	25	5	gexf
282	Rand.Uni.500.25.5.gexf	3	19.5915338316765	1	Rand	Uni	500	25	5	gexf
283	Rand.Uni.500.25.5.gexf	5	19.5915338316765	1	Rand	Uni	500	25	5	gexf
284	Rand.Uni.500.25.5.gexf	10	19.5915338316765	1	Rand	Uni	500	25	5	gexf
286	Rand.Uni.1000.5.5.gexf	2	4.24221020370374	1	Rand	Uni	1000	5	5	gexf
287	Rand.Uni.1000.5.5.gexf	3	4.24221020370374	1	Rand	Uni	1000	5	5	gexf
288	Rand.Uni.1000.5.5.gexf	5	3.04304572205292	5	Rand	Uni	1000	5	5	gexf
291	Rand.Uni.1000.10.5.gexf	2	11.0024725891196	1	Rand	Uni	1000	10	5	gexf
292	Rand.Uni.1000.10.5.gexf	3	11.0024725891196	1	Rand	Uni	1000	10	5	gexf
293	Rand.Uni.1000.10.5.gexf	5	11.0024725891196	1	Rand	Uni	1000	10	5	gexf
294	Rand.Uni.1000.10.5.gexf	10	11.0024725891196	1	Rand	Uni	1000	10	5	gexf
296	Rand.Uni.1000.25.5.gexf	2	21.9532800258341	1	Rand	Uni	1000	25	5	gexf
297	Rand.Uni.1000.25.5.gexf	3	21.9532800258341	1	Rand	Uni	1000	25	5	gexf
298	Rand.Uni.1000.25.5.gexf	5	21.9532800258341	1	Rand	Uni	1000	25	5	gexf
299	Rand.Uni.1000.25.5.gexf	10	21.9532800258341	1	Rand	Uni	1000	25	5	gexf
301	Rand.Uni.50.5.6.gexf	2	4.42396479138037	1	Rand	Uni	50	5	6	gexf
302	Rand.Uni.50.5.6.gexf	3	4.42396479138037	1	Rand	Uni	50	5	6	gexf
303	Rand.Uni.50.5.6.gexf	5	4.32203673895379	3	Rand	Uni	50	5	6	gexf
306	Rand.Uni.50.10.6.gexf	2	9.41782262386604	1	Rand	Uni	50	10	6	gexf
307	Rand.Uni.50.10.6.gexf	3	9.41782262386604	1	Rand	Uni	50	10	6	gexf
308	Rand.Uni.50.10.6.gexf	5	9.41782262386604	1	Rand	Uni	50	10	6	gexf
309	Rand.Uni.50.10.6.gexf	10	9.11399883049097	5	Rand	Uni	50	10	6	gexf
311	Rand.Uni.50.25.6.gexf	2	21.0240771708857	1	Rand	Uni	50	25	6	gexf
312	Rand.Uni.50.25.6.gexf	3	21.0240771708857	1	Rand	Uni	50	25	6	gexf
313	Rand.Uni.50.25.6.gexf	5	21.0240771708857	1	Rand	Uni	50	25	6	gexf
314	Rand.Uni.50.25.6.gexf	10	21.0240771708857	1	Rand	Uni	50	25	6	gexf
316	Rand.Uni.100.5.6.gexf	2	3.66615992814692	1	Rand	Uni	100	5	6	gexf
317	Rand.Uni.100.5.6.gexf	3	3.65881024279951	2	Rand	Uni	100	5	6	gexf
318	Rand.Uni.100.5.6.gexf	5	1.90765778380651	6	Rand	Uni	100	5	6	gexf
321	Rand.Uni.100.10.6.gexf	2	6.90678949351844	1	Rand	Uni	100	10	6	gexf
322	Rand.Uni.100.10.6.gexf	3	6.90678949351844	1	Rand	Uni	100	10	6	gexf
323	Rand.Uni.100.10.6.gexf	5	6.90678949351844	1	Rand	Uni	100	10	6	gexf
324	Rand.Uni.100.10.6.gexf	10	5.62333035968786	9	Rand	Uni	100	10	6	gexf
326	Rand.Uni.100.25.6.gexf	2	19.9419506520683	1	Rand	Uni	100	25	6	gexf
327	Rand.Uni.100.25.6.gexf	3	19.9419506520683	1	Rand	Uni	100	25	6	gexf
328	Rand.Uni.100.25.6.gexf	5	19.9419506520683	1	Rand	Uni	100	25	6	gexf
329	Rand.Uni.100.25.6.gexf	10	19.9419506520683	1	Rand	Uni	100	25	6	gexf
331	Rand.Uni.500.5.6.gexf	2	3.50700469749945	1	Rand	Uni	500	5	6	gexf
332	Rand.Uni.500.5.6.gexf	3	3.50700469749945	1	Rand	Uni	500	5	6	gexf
333	Rand.Uni.500.5.6.gexf	5	3.13066488600721	4	Rand	Uni	500	5	6	gexf
336	Rand.Uni.500.10.6.gexf	2	6.93095996935107	2	Rand	Uni	500	10	6	gexf
337	Rand.Uni.500.10.6.gexf	3	6.93095996935107	1	Rand	Uni	500	10	6	gexf
338	Rand.Uni.500.10.6.gexf	5	6.93095996935107	3	Rand	Uni	500	10	6	gexf
339	Rand.Uni.500.10.6.gexf	10	5.67159534884732	5	Rand	Uni	500	10	6	gexf
341	Rand.Uni.500.25.6.gexf	2	25.1250615429031	1	Rand	Uni	500	25	6	gexf
342	Rand.Uni.500.25.6.gexf	3	25.1250615429031	1	Rand	Uni	500	25	6	gexf
343	Rand.Uni.500.25.6.gexf	5	25.1250615429031	1	Rand	Uni	500	25	6	gexf
344	Rand.Uni.500.25.6.gexf	10	25.1250615429031	1	Rand	Uni	500	25	6	gexf
346	Rand.Uni.1000.5.6.gexf	2	2.53104745147582	1	Rand	Uni	1000	5	6	gexf
347	Rand.Uni.1000.5.6.gexf	3	2.03609861482075	4	Rand	Uni	1000	5	6	gexf
351	Rand.Uni.1000.10.6.gexf	2	8.14466666079037	1	Rand	Uni	1000	10	6	gexf
352	Rand.Uni.1000.10.6.gexf	3	8.14466666079037	1	Rand	Uni	1000	10	6	gexf
353	Rand.Uni.1000.10.6.gexf	5	8.14466666079037	1	Rand	Uni	1000	10	6	gexf
354	Rand.Uni.1000.10.6.gexf	10	7.10541825196661	7	Rand	Uni	1000	10	6	gexf
356	Rand.Uni.1000.25.6.gexf	2	19.2247314317431	1	Rand	Uni	1000	25	6	gexf
357	Rand.Uni.1000.25.6.gexf	3	19.2247314317431	1	Rand	Uni	1000	25	6	gexf
358	Rand.Uni.1000.25.6.gexf	5	19.2247314317431	1	Rand	Uni	1000	25	6	gexf
359	Rand.Uni.1000.25.6.gexf	10	19.2247314317431	1	Rand	Uni	1000	25	6	gexf
361	Rand.Uni.50.5.7.gexf	2	1.87735439908932	2	Rand	Uni	50	5	7	gexf
362	Rand.Uni.50.5.7.gexf	3	1.27621789186365	3	Rand	Uni	50	5	7	gexf
363	Rand.Uni.50.5.7.gexf	5	0.365400880695678	6	Rand	Uni	50	5	7	gexf
366	Rand.Uni.50.10.7.gexf	2	8.63064409649475	1	Rand	Uni	50	10	7	gexf
367	Rand.Uni.50.10.7.gexf	3	8.63064409649475	1	Rand	Uni	50	10	7	gexf
368	Rand.Uni.50.10.7.gexf	5	8.63064409649475	1	Rand	Uni	50	10	7	gexf
369	Rand.Uni.50.10.7.gexf	10	8.41225077273331	3	Rand	Uni	50	10	7	gexf
371	Rand.Uni.50.25.7.gexf	2	17.1999507760543	1	Rand	Uni	50	25	7	gexf
372	Rand.Uni.50.25.7.gexf	3	17.1999507760543	1	Rand	Uni	50	25	7	gexf
373	Rand.Uni.50.25.7.gexf	5	17.1999507760543	1	Rand	Uni	50	25	7	gexf
374	Rand.Uni.50.25.7.gexf	10	17.1999507760543	1	Rand	Uni	50	25	7	gexf
376	Rand.Uni.100.5.7.gexf	2	4.29547875114418	1	Rand	Uni	100	5	7	gexf
