path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
R-MAT.500.25.3.gexf,50,196.88372093023258,9,R-MAT,500,25,3,gexf
R-MAT.1000.5.3.gexf,2,79.0,1,R-MAT,1000,5,3,gexf
R-MAT.1000.5.3.gexf,3,79.0,1,R-MAT,1000,5,3,gexf
R-MAT.1000.5.3.gexf,5,79.0,1,R-MAT,1000,5,3,gexf
R-MAT.1000.5.3.gexf,10,79.0,1,R-MAT,1000,5,3,gexf
R-MAT.1000.5.3.gexf,50,58.84615384615385,13,R-MAT,1000,5,3,gexf
R-MAT.1000.10.3.gexf,2,134.0,1,R-MAT,1000,10,3,gexf
R-MAT.1000.10.3.gexf,3,134.0,1,R-MAT,1000,10,3,gexf
R-MAT.1000.10.3.gexf,5,134.0,1,R-MAT,1000,10,3,gexf
R-MAT.1000.10.3.gexf,10,133.1,2,R-MAT,1000,10,3,gexf
R-MAT.1000.10.3.gexf,50,108.95454545454545,9,R-MAT,1000,10,3,gexf
R-MAT.1000.25.3.gexf,2,340.0,1,R-MAT,1000,25,3,gexf
R-MAT.1000.25.3.gexf,3,340.0,1,R-MAT,1000,25,3,gexf
R-MAT.1000.25.3.gexf,5,340.0,1,R-MAT,1000,25,3,gexf
R-MAT.1000.25.3.gexf,10,340.0,1,R-MAT,1000,25,3,gexf
R-MAT.1000.25.3.gexf,50,282.2,7,R-MAT,1000,25,3,gexf
R-MAT.50.5.4.gexf,2,7.0,1,R-MAT,50,5,4,gexf
R-MAT.50.5.4.gexf,3,7.0,1,R-MAT,50,5,4,gexf
R-MAT.50.5.4.gexf,5,7.0,1,R-MAT,50,5,4,gexf
R-MAT.50.5.4.gexf,10,F,F,R-MAT,50,5,4,gexf
R-MAT.50.5.4.gexf,50,F,F,R-MAT,50,5,4,gexf
R-MAT.50.10.4.gexf,2,30.0,1,R-MAT,50,10,4,gexf
R-MAT.50.10.4.gexf,3,30.0,1,R-MAT,50,10,4,gexf
R-MAT.50.10.4.gexf,5,28.8,2,R-MAT,50,10,4,gexf
R-MAT.50.10.4.gexf,10,23.375,4,R-MAT,50,10,4,gexf
R-MAT.50.10.4.gexf,50,F,F,R-MAT,50,10,4,gexf
R-MAT.50.25.4.gexf,2,83.0,1,R-MAT,50,25,4,gexf
R-MAT.50.25.4.gexf,3,83.0,1,R-MAT,50,25,4,gexf
R-MAT.50.25.4.gexf,5,79.2,3,R-MAT,50,25,4,gexf
R-MAT.50.25.4.gexf,10,66.0,5,R-MAT,50,25,4,gexf
R-MAT.50.25.4.gexf,50,F,F,R-MAT,50,25,4,gexf
R-MAT.100.5.4.gexf,2,24.0,1,R-MAT,100,5,4,gexf
R-MAT.100.5.4.gexf,3,24.0,1,R-MAT,100,5,4,gexf
R-MAT.100.5.4.gexf,5,24.0,1,R-MAT,100,5,4,gexf
R-MAT.100.5.4.gexf,10,20.166666666666668,6,R-MAT,100,5,4,gexf
R-MAT.100.5.4.gexf,50,F,F,R-MAT,100,5,4,gexf
R-MAT.100.10.4.gexf,2,38.0,1,R-MAT,100,10,4,gexf
R-MAT.100.10.4.gexf,3,38.0,1,R-MAT,100,10,4,gexf
R-MAT.100.10.4.gexf,5,38.0,1,R-MAT,100,10,4,gexf
R-MAT.100.10.4.gexf,10,33.0,5,R-MAT,100,10,4,gexf
R-MAT.100.10.4.gexf,50,F,F,R-MAT,100,10,4,gexf
R-MAT.100.25.4.gexf,2,98.0,1,R-MAT,100,25,4,gexf
R-MAT.100.25.4.gexf,3,98.0,1,R-MAT,100,25,4,gexf
R-MAT.100.25.4.gexf,5,98.0,1,R-MAT,100,25,4,gexf
R-MAT.100.25.4.gexf,10,97.9,3,R-MAT,100,25,4,gexf
R-MAT.100.25.4.gexf,50,F,F,R-MAT,100,25,4,gexf
R-MAT.500.5.4.gexf,2,65.0,1,R-MAT,500,5,4,gexf
R-MAT.500.5.4.gexf,3,65.0,1,R-MAT,500,5,4,gexf
R-MAT.500.5.4.gexf,5,65.0,1,R-MAT,500,5,4,gexf
R-MAT.500.5.4.gexf,10,65.0,1,R-MAT,500,5,4,gexf
R-MAT.500.5.4.gexf,50,F,F,R-MAT,500,5,4,gexf
R-MAT.500.10.4.gexf,2,98.0,1,R-MAT,500,10,4,gexf
R-MAT.500.10.4.gexf,3,98.0,1,R-MAT,500,10,4,gexf
R-MAT.500.10.4.gexf,5,98.0,1,R-MAT,500,10,4,gexf
R-MAT.500.10.4.gexf,10,98.0,1,R-MAT,500,10,4,gexf
R-MAT.500.10.4.gexf,50,74.99999999999997,19,R-MAT,500,10,4,gexf
R-MAT.500.25.4.gexf,2,249.0,1,R-MAT,500,25,4,gexf
R-MAT.500.25.4.gexf,3,249.0,1,R-MAT,500,25,4,gexf
R-MAT.500.25.4.gexf,5,249.0,1,R-MAT,500,25,4,gexf
R-MAT.500.25.4.gexf,10,249.0,1,R-MAT,500,25,4,gexf
R-MAT.500.25.4.gexf,50,187.82926829268294,11,R-MAT,500,25,4,gexf
R-MAT.1000.5.4.gexf,2,75.0,1,R-MAT,1000,5,4,gexf
R-MAT.1000.5.4.gexf,3,75.0,1,R-MAT,1000,5,4,gexf
R-MAT.1000.5.4.gexf,5,75.0,1,R-MAT,1000,5,4,gexf
