path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4
232	Complete.1000.1.6.gexf	3	488.119201827007	1	Complete	1000	1	6	gexf
233	Complete.1000.1.6.gexf	5	488.119201827007	1	Complete	1000	1	6	gexf
234	Complete.1000.1.6.gexf	10	488.119201827007	1	Complete	1000	1	6	gexf
235	Complete.1000.1.6.gexf	50	488.119201827007	1	Complete	1000	1	6	gexf
236	Complete.1000.20.6.gexf	2	9802	1	Complete	1000	20	6	gexf
237	Complete.1000.20.6.gexf	3	9802	1	Complete	1000	20	6	gexf
238	Complete.1000.20.6.gexf	5	9802	1	Complete	1000	20	6	gexf
239	Complete.1000.20.6.gexf	10	9802	1	Complete	1000	20	6	gexf
240	Complete.1000.20.6.gexf	50	9802	1	Complete	1000	20	6	gexf
241	Complete.50.1.7.gexf	2	23.9381422321978	1	Complete	50	1	7	gexf
242	Complete.50.1.7.gexf	3	23.9381422321978	1	Complete	50	1	7	gexf
243	Complete.50.1.7.gexf	5	23.9381422321978	1	Complete	50	1	7	gexf
244	Complete.50.1.7.gexf	10	23.9381422321978	1	Complete	50	1	7	gexf
246	Complete.50.20.7.gexf	2	452	1	Complete	50	20	7	gexf
247	Complete.50.20.7.gexf	3	452	1	Complete	50	20	7	gexf
248	Complete.50.20.7.gexf	5	452	1	Complete	50	20	7	gexf
249	Complete.50.20.7.gexf	10	452	1	Complete	50	20	7	gexf
251	Complete.100.1.7.gexf	2	48.6671063581238	1	Complete	100	1	7	gexf
252	Complete.100.1.7.gexf	3	48.6671063581238	1	Complete	100	1	7	gexf
253	Complete.100.1.7.gexf	5	48.6671063581238	1	Complete	100	1	7	gexf
254	Complete.100.1.7.gexf	10	48.6671063581238	2	Complete	100	1	7	gexf
255	Complete.100.1.7.gexf	50	48.6155773475386	3	Complete	100	1	7	gexf
256	Complete.100.20.7.gexf	2	954	1	Complete	100	20	7	gexf
257	Complete.100.20.7.gexf	3	954	1	Complete	100	20	7	gexf
258	Complete.100.20.7.gexf	5	954	1	Complete	100	20	7	gexf
259	Complete.100.20.7.gexf	10	954	2	Complete	100	20	7	gexf
260	Complete.100.20.7.gexf	50	951.209302325581	10	Complete	100	20	7	gexf
261	Complete.500.1.7.gexf	2	243.167764269953	1	Complete	500	1	7	gexf
262	Complete.500.1.7.gexf	3	243.167764269953	1	Complete	500	1	7	gexf
263	Complete.500.1.7.gexf	5	243.167764269953	1	Complete	500	1	7	gexf
264	Complete.500.1.7.gexf	10	243.167764269953	1	Complete	500	1	7	gexf
265	Complete.500.1.7.gexf	50	243.167764269953	3	Complete	500	1	7	gexf
266	Complete.500.20.7.gexf	2	5101	1	Complete	500	20	7	gexf
267	Complete.500.20.7.gexf	3	5101	1	Complete	500	20	7	gexf
268	Complete.500.20.7.gexf	5	5101	1	Complete	500	20	7	gexf
269	Complete.500.20.7.gexf	10	5101	1	Complete	500	20	7	gexf
270	Complete.500.20.7.gexf	50	5101	1	Complete	500	20	7	gexf
271	Complete.1000.1.7.gexf	2	497.033403639974	1	Complete	1000	1	7	gexf
272	Complete.1000.1.7.gexf	3	497.033403639974	1	Complete	1000	1	7	gexf
273	Complete.1000.1.7.gexf	5	497.033403639974	1	Complete	1000	1	7	gexf
274	Complete.1000.1.7.gexf	10	497.033403639974	1	Complete	1000	1	7	gexf
275	Complete.1000.1.7.gexf	50	497.033403639974	1	Complete	1000	1	7	gexf
276	Complete.1000.20.7.gexf	2	9609	1	Complete	1000	20	7	gexf
277	Complete.1000.20.7.gexf	3	9609	1	Complete	1000	20	7	gexf
278	Complete.1000.20.7.gexf	5	9609	1	Complete	1000	20	7	gexf
279	Complete.1000.20.7.gexf	10	9609	1	Complete	1000	20	7	gexf
280	Complete.1000.20.7.gexf	50	9609	1	Complete	1000	20	7	gexf
281	Complete.50.1.8.gexf	2	21.5106400752924	1	Complete	50	1	8	gexf
282	Complete.50.1.8.gexf	3	21.5106400752924	1	Complete	50	1	8	gexf
283	Complete.50.1.8.gexf	5	21.5106400752924	1	Complete	50	1	8	gexf
284	Complete.50.1.8.gexf	10	21.5106400752924	1	Complete	50	1	8	gexf
286	Complete.50.20.8.gexf	2	461	1	Complete	50	20	8	gexf
287	Complete.50.20.8.gexf	3	461	1	Complete	50	20	8	gexf
288	Complete.50.20.8.gexf	5	461	1	Complete	50	20	8	gexf
289	Complete.50.20.8.gexf	10	461	1	Complete	50	20	8	gexf
291	Complete.100.1.8.gexf	2	44.7139776209752	1	Complete	100	1	8	gexf
292	Complete.100.1.8.gexf	3	44.7139776209752	1	Complete	100	1	8	gexf
