path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5	small_1	constant1	uni_2	constant2	best.constant	best.alg
93	Rand.Uni.500.5.2.gexf	5	7.6847652444047	1	Rand	Uni	500	5	2	gexf	3.69496628659474	2.07979306124791	3.89903247124478	1.97094158642678	2.07979306124791	NA
94	Rand.Uni.500.5.2.gexf	10	6.54853492651476	8	Rand	Uni	500	5	2	gexf	0.709282755957068	9.23261544358078	0.709282755957068	9.23261544358078	9.23261544358078	NA
96	Rand.Uni.500.10.2.gexf	2	11.1420558695813	1	Rand	Uni	500	10	2	gexf	9.1459869419422	1.21824532883219	9.1459869419422	1.21824532883219	1.21824532883219	NA
97	Rand.Uni.500.10.2.gexf	3	11.1420558695813	1	Rand	Uni	500	10	2	gexf	8.19478012694566	1.35965281520422	8.19478012694566	1.35965281520422	1.35965281520422	2
98	Rand.Uni.500.10.2.gexf	5	11.1420558695813	1	Rand	Uni	500	10	2	gexf	6.59745593879208	1.68884127047634	6.59745593879208	1.68884127047634	1.68884127047634	2
99	Rand.Uni.500.10.2.gexf	10	11.1420558695813	1	Rand	Uni	500	10	2	gexf	3.07143308224631	3.62764076938068	3.07143308224632	3.62764076938067	3.62764076938068	NA
101	Rand.Uni.500.25.2.gexf	2	19.7630268388129	1	Rand	Uni	500	25	2	gexf	17.9820666582359	1.09904090638888	17.9304356669153	1.10220561317866	1.10220561317866	2
102	Rand.Uni.500.25.2.gexf	3	19.7630268388129	1	Rand	Uni	500	25	2	gexf	17.1027685991114	1.15554547348783	17.034740765423	1.16016011696097	1.16016011696097	2
103	Rand.Uni.500.25.2.gexf	5	19.7630268388129	1	Rand	Uni	500	25	2	gexf	15.3682449610932	1.28596511110057	15.3398888422243	1.28834224563698	1.28834224563698	2
104	Rand.Uni.500.25.2.gexf	10	19.7630268388129	1	Rand	Uni	500	25	2	gexf	11.3556992736456	1.74036194183824	11.3737894247721	1.73759387489354	1.74036194183824	NA
106	Rand.Uni.1000.5.2.gexf	2	4.42892918005967	1	Rand	Uni	1000	5	2	gexf	2.80278090780178	1.58019100520179	2.79198801135403	1.58629949772305	1.58629949772305	2
107	Rand.Uni.1000.5.2.gexf	3	4.42892918005967	1	Rand	Uni	1000	5	2	gexf	2.13024071717304	2.07907451226316	2.13024071717304	2.07907451226316	2.07907451226316	NA
108	Rand.Uni.1000.5.2.gexf	5	4.15743384237932	2	Rand	Uni	1000	5	2	gexf	1.22005808885911	3.40757041024741	0.987562523047795	4.20979304636706	4.20979304636706	2
111	Rand.Uni.1000.10.2.gexf	2	9.90875472016985	1	Rand	Uni	1000	10	2	gexf	7.9667510321735	1.24376357189444	8.94498912128689	1.10774363007211	1.24376357189444	NA
112	Rand.Uni.1000.10.2.gexf	3	9.90875472016985	1	Rand	Uni	1000	10	2	gexf	7.14472421448707	1.38686314862626	8.0672661682172	1.22826674037453	1.38686314862626	NA
113	Rand.Uni.1000.10.2.gexf	5	9.90875472016985	1	Rand	Uni	1000	10	2	gexf	5.59196545486475	1.77196279200003	6.42670658504703	1.54180910378334	1.77196279200003	NA
