construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5
102	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	3	2	[40, 40, 40, 40]	17.1999507760543	14.4185561156287	14.4185561156287	inf	253	0	0	0	0	[17.199950776054308, 14.4185561156287]	Rand	Uni	50	25	7	gexf
103	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	5	3	[40, 40, 40, 40]	17.1999507760543	12.6565669125002	12.656566912500182	inf	853	0	0	0	0	[17.199950776054308, 12.656566912500182]	Rand	Uni	50	25	7	gexf
104	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	10	4	[40, 40, 40, 40]	17.1999507760543	9.22750568317643	9.227505683176428	inf	881	0	0	0	0	[17.199950776054308, 9.227505683176428]	Rand	Uni	50	25	7	gexf
106	cut	cap	first	Rand.Uni.50.5.8.gexf	50	250	2	1	[9, 9, 9, 9]	3.31515090459082	2.08072612790329	2.080726127903295	inf	2147	0	0	0	0	[3.31515090459082, 2.080726127903295]	Rand	Uni	50	5	8	gexf
107	cut	cap	first	Rand.Uni.50.5.8.gexf	50	250	3	2	[9, 9, 9, 9]	3.31515090459082	1.57248824040533	1.572488240405332	inf	1660	0	0	0	0	[3.31515090459082, 1.572488240405332]	Rand	Uni	50	5	8	gexf
108	cut	cap	first	Rand.Uni.50.5.8.gexf	50	250	5	3	[9, 9, 9, 9]	3.31515090459082	0.732839008660089	0.7328390086600894	inf	3876	0	0	0	0	[3.31515090459082, 0.7328390086600894]	Rand	Uni	50	5	8	gexf
111	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	2	1	[16, 16, 16, 16]	8.59012901041066	6.72234914732897	6.722349147328973	inf	546	0	0	0	0	[8.590129010410664, 6.722349147328973]	Rand	Uni	50	10	8	gexf
112	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	3	2	[16, 16, 16, 16]	8.59012901041066	5.83145242916893	5.831452429168926	inf	894	0	0	0	0	[8.590129010410664, 5.831452429168926]	Rand	Uni	50	10	8	gexf
113	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	5	3	[16, 16, 16, 16]	8.59012901041066	4.27926566636454	4.2792656663645445	inf	922	0	0	0	0	[8.590129010410664, 4.2792656663645445]	Rand	Uni	50	10	8	gexf
114	cut	cap	first	Rand.Uni.50.10.8.gexf	50	500	10	4	[16, 16, 16, 16]	8.59012901041066	1.4037042962064	1.4037042962063953	inf	1000	0	0	0	0	[8.590129010410664, 1.4037042962063953]	Rand	Uni	50	10	8	gexf
116	cut	cap	first	Rand.Uni.50.25.8.gexf	50	1250	2	1	[41, 41, 41, 41]	19.8797864054405	17.9818734457072	17.981873445707247	inf	241	0	0	0	0	[19.879786405440527, 17.981873445707247]	Rand	Uni	50	25	8	gexf
