construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5
10487	cut	cap	first	Small.1000.10.5.50.gexf	1000	10000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	103	0	0	0	0	[9.0, 6.0]	Small	1000	10	5	50	gexf
10488	cut	cap	first	Small.1000.10.5.50.gexf	1000	10000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	105	0	0	0	0	[9.0, 4.0]	Small	1000	10	5	50	gexf
10491	cut	cap	first	Small.1000.24.2.50.gexf	1000	24000	2	1	[26, 26, 26, 26]	26	24	24.0	inf	45	0	0	0	0	[26.0, 24.0]	Small	1000	24	2	50	gexf
10492	cut	cap	first	Small.1000.24.2.50.gexf	1000	24000	3	2	[26, 26, 26, 26]	26	23	23.0	inf	45	0	0	0	0	[26.0, 23.0]	Small	1000	24	2	50	gexf
10493	cut	cap	first	Small.1000.24.2.50.gexf	1000	24000	5	3	[26, 26, 26, 26]	26	21	21.0	inf	45	0	0	0	0	[26.0, 21.0]	Small	1000	24	2	50	gexf
10494	cut	cap	first	Small.1000.24.2.50.gexf	1000	24000	10	4	[26, 26, 26, 26]	26	16	16.0	inf	44	0	0	0	0	[26.0, 16.0]	Small	1000	24	2	50	gexf
10496	cut	cap	first	Small.1000.24.5.50.gexf	1000	24000	2	1	[22, 22, 22, 22]	22	20	20.0	inf	44	0	0	0	0	[22.0, 20.0]	Small	1000	24	5	50	gexf
10497	cut	cap	first	Small.1000.24.5.50.gexf	1000	24000	3	2	[22, 22, 22, 22]	22	19	19.0	inf	45	0	0	0	0	[22.0, 19.0]	Small	1000	24	5	50	gexf
10498	cut	cap	first	Small.1000.24.5.50.gexf	1000	24000	5	3	[22, 22, 22, 22]	22	17	17.0	inf	45	0	0	0	0	[22.0, 17.0]	Small	1000	24	5	50	gexf
10499	cut	cap	first	Small.1000.24.5.50.gexf	1000	24000	10	4	[22, 22, 22, 22]	22	12	12.0	inf	45	0	0	0	0	[22.0, 12.0]	Small	1000	24	5	50	gexf
10501	cut	cap	first	Small.1000.6.2.51.gexf	1000	6000	2	1	[6, 6, 6, 6]	6	4	4.0	inf	162	0	0	0	0	[6.0, 4.0]	Small	1000	6	2	51	gexf
10502	cut	cap	first	Small.1000.6.2.51.gexf	1000	6000	3	2	[6, 6, 6, 6]	6	3	3.0	inf	163	0	0	0	0	[6.0, 3.0]	Small	1000	6	2	51	gexf
10503	cut	cap	first	Small.1000.6.2.51.gexf	1000	6000	5	3	[6, 6, 6, 6]	6	1	1.0	inf	162	0	0	0	0	[6.0, 1.0]	Small	1000	6	2	51	gexf
10506	cut	cap	first	Small.1000.6.5.51.gexf	1000	6000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	162	0	0	0	0	[7.0, 5.0]	Small	1000	6	5	51	gexf
10507	cut	cap	first	Small.1000.6.5.51.gexf	1000	6000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	166	0	0	0	0	[7.0, 4.0]	Small	1000	6	5	51	gexf
10508	cut	cap	first	Small.1000.6.5.51.gexf	1000	6000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	164	0	0	0	0	[7.0, 2.0]	Small	1000	6	5	51	gexf
10511	cut	cap	first	Small.1000.10.2.51.gexf	1000	10000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	106	0	0	0	0	[8.0, 6.0]	Small	1000	10	2	51	gexf
10512	cut	cap	first	Small.1000.10.2.51.gexf	1000	10000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	106	0	0	0	0	[8.0, 5.0]	Small	1000	10	2	51	gexf
10513	cut	cap	first	Small.1000.10.2.51.gexf	1000	10000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	106	0	0	0	0	[8.0, 3.0]	Small	1000	10	2	51	gexf
10516	cut	cap	first	Small.1000.10.5.51.gexf	1000	10000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	104	0	0	0	0	[9.0, 7.0]	Small	1000	10	5	51	gexf
10517	cut	cap	first	Small.1000.10.5.51.gexf	1000	10000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	103	0	0	0	0	[9.0, 6.0]	Small	1000	10	5	51	gexf
10518	cut	cap	first	Small.1000.10.5.51.gexf	1000	10000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	104	0	0	0	0	[9.0, 4.0]	Small	1000	10	5	51	gexf
10521	cut	cap	first	Small.1000.24.2.51.gexf	1000	24000	2	1	[23, 23, 23, 23]	23	21	21.0	inf	45	0	0	0	0	[23.0, 21.0]	Small	1000	24	2	51	gexf
10522	cut	cap	first	Small.1000.24.2.51.gexf	1000	24000	3	2	[23, 23, 23, 23]	23	20	20.0	inf	45	0	0	0	0	[23.0, 20.0]	Small	1000	24	2	51	gexf
10523	cut	cap	first	Small.1000.24.2.51.gexf	1000	24000	5	3	[23, 23, 23, 23]	23	18	18.0	inf	46	0	0	0	0	[23.0, 18.0]	Small	1000	24	2	51	gexf
10524	cut	cap	first	Small.1000.24.2.51.gexf	1000	24000	10	4	[23, 23, 23, 23]	23	13	13.0	inf	46	0	0	0	0	[23.0, 13.0]	Small	1000	24	2	51	gexf
10526	cut	cap	first	Small.1000.24.5.51.gexf	1000	24000	2	1	[21, 21, 21, 21]	21	19	19.0	inf	44	0	0	0	0	[21.0, 19.0]	Small	1000	24	5	51	gexf
10527	cut	cap	first	Small.1000.24.5.51.gexf	1000	24000	3	2	[21, 21, 21, 21]	21	18	18.0	inf	45	0	0	0	0	[21.0, 18.0]	Small	1000	24	5	51	gexf
10528	cut	cap	first	Small.1000.24.5.51.gexf	1000	24000	5	3	[21, 21, 21, 21]	21	16	16.0	inf	45	0	0	0	0	[21.0, 16.0]	Small	1000	24	5	51	gexf
10529	cut	cap	first	Small.1000.24.5.51.gexf	1000	24000	10	4	[21, 21, 21, 21]	21	11	11.0	inf	45	0	0	0	0	[21.0, 11.0]	Small	1000	24	5	51	gexf
10531	cut	cap	first	Small.1000.6.2.52.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	168	0	0	0	0	[5.0, 3.0]	Small	1000	6	2	52	gexf
10532	cut	cap	first	Small.1000.6.2.52.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	163	0	0	0	0	[5.0, 2.0]	Small	1000	6	2	52	gexf
10536	cut	cap	first	Small.1000.6.5.52.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	161	0	0	0	0	[5.0, 3.0]	Small	1000	6	5	52	gexf
10537	cut	cap	first	Small.1000.6.5.52.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	163	0	0	0	0	[5.0, 2.0]	Small	1000	6	5	52	gexf
10541	cut	cap	first	Small.1000.10.2.52.gexf	1000	10000	2	1	[11, 11, 11, 11]	11	9	9.0	inf	102	0	0	0	0	[11.0, 9.0]	Small	1000	10	2	52	gexf
10542	cut	cap	first	Small.1000.10.2.52.gexf	1000	10000	3	2	[11, 11, 11, 11]	11	8	8.0	inf	104	0	0	0	0	[11.0, 8.0]	Small	1000	10	2	52	gexf
10543	cut	cap	first	Small.1000.10.2.52.gexf	1000	10000	5	3	[11, 11, 11, 11]	11	6	6.0	inf	105	0	0	0	0	[11.0, 6.0]	Small	1000	10	2	52	gexf
10544	cut	cap	first	Small.1000.10.2.52.gexf	1000	10000	10	4	[11, 11, 11, 11]	11	1	1.0	inf	107	0	0	0	0	[11.0, 1.0]	Small	1000	10	2	52	gexf
10546	cut	cap	first	Small.1000.10.5.52.gexf	1000	10000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	104	0	0	0	0	[7.0, 5.0]	Small	1000	10	5	52	gexf
10547	cut	cap	first	Small.1000.10.5.52.gexf	1000	10000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	103	0	0	0	0	[7.0, 4.0]	Small	1000	10	5	52	gexf
10548	cut	cap	first	Small.1000.10.5.52.gexf	1000	10000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	104	0	0	0	0	[7.0, 2.0]	Small	1000	10	5	52	gexf
10551	cut	cap	first	Small.1000.24.2.52.gexf	1000	24000	2	1	[21, 21, 21, 21]	21	19	19.0	inf	45	0	0	0	0	[21.0, 19.0]	Small	1000	24	2	52	gexf
10552	cut	cap	first	Small.1000.24.2.52.gexf	1000	24000	3	2	[21, 21, 21, 21]	21	18	18.0	inf	45	0	0	0	0	[21.0, 18.0]	Small	1000	24	2	52	gexf
10553	cut	cap	first	Small.1000.24.2.52.gexf	1000	24000	5	3	[21, 21, 21, 21]	21	16	16.0	inf	44	0	0	0	0	[21.0, 16.0]	Small	1000	24	2	52	gexf
10554	cut	cap	first	Small.1000.24.2.52.gexf	1000	24000	10	4	[21, 21, 21, 21]	21	11	11.0	inf	45	0	0	0	0	[21.0, 11.0]	Small	1000	24	2	52	gexf
10556	cut	cap	first	Small.1000.24.5.52.gexf	1000	24000	2	1	[22, 22, 22, 22]	22	20	20.0	inf	45	0	0	0	0	[22.0, 20.0]	Small	1000	24	5	52	gexf
10557	cut	cap	first	Small.1000.24.5.52.gexf	1000	24000	3	2	[22, 22, 22, 22]	22	19	19.0	inf	45	0	0	0	0	[22.0, 19.0]	Small	1000	24	5	52	gexf
10558	cut	cap	first	Small.1000.24.5.52.gexf	1000	24000	5	3	[22, 22, 22, 22]	22	17	17.0	inf	45	0	0	0	0	[22.0, 17.0]	Small	1000	24	5	52	gexf
10559	cut	cap	first	Small.1000.24.5.52.gexf	1000	24000	10	4	[22, 22, 22, 22]	22	12	12.0	inf	45	0	0	0	0	[22.0, 12.0]	Small	1000	24	5	52	gexf
10561	cut	cap	first	Small.1000.6.2.53.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	167	0	0	0	0	[5.0, 3.0]	Small	1000	6	2	53	gexf
10562	cut	cap	first	Small.1000.6.2.53.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	162	0	0	0	0	[5.0, 2.0]	Small	1000	6	2	53	gexf
10566	cut	cap	first	Small.1000.6.5.53.gexf	1000	6000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	164	0	0	0	0	[7.0, 5.0]	Small	1000	6	5	53	gexf
10567	cut	cap	first	Small.1000.6.5.53.gexf	1000	6000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	161	0	0	0	0	[7.0, 4.0]	Small	1000	6	5	53	gexf
10568	cut	cap	first	Small.1000.6.5.53.gexf	1000	6000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	165	0	0	0	0	[7.0, 2.0]	Small	1000	6	5	53	gexf
10571	cut	cap	first	Small.1000.10.2.53.gexf	1000	10000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	106	0	0	0	0	[9.0, 7.0]	Small	1000	10	2	53	gexf
10572	cut	cap	first	Small.1000.10.2.53.gexf	1000	10000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	105	0	0	0	0	[9.0, 6.0]	Small	1000	10	2	53	gexf
10573	cut	cap	first	Small.1000.10.2.53.gexf	1000	10000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	106	0	0	0	0	[9.0, 4.0]	Small	1000	10	2	53	gexf
10576	cut	cap	first	Small.1000.10.5.53.gexf	1000	10000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	105	0	0	0	0	[9.0, 7.0]	Small	1000	10	5	53	gexf
10577	cut	cap	first	Small.1000.10.5.53.gexf	1000	10000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	104	0	0	0	0	[9.0, 6.0]	Small	1000	10	5	53	gexf
10578	cut	cap	first	Small.1000.10.5.53.gexf	1000	10000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	104	0	0	0	0	[9.0, 4.0]	Small	1000	10	5	53	gexf
10581	cut	cap	first	Small.1000.24.2.53.gexf	1000	24000	2	1	[24, 24, 24, 24]	24	22	22.0	inf	45	0	0	0	0	[24.0, 22.0]	Small	1000	24	2	53	gexf
10582	cut	cap	first	Small.1000.24.2.53.gexf	1000	24000	3	2	[24, 24, 24, 24]	24	21	21.0	inf	45	0	0	0	0	[24.0, 21.0]	Small	1000	24	2	53	gexf
10583	cut	cap	first	Small.1000.24.2.53.gexf	1000	24000	5	3	[24, 24, 24, 24]	24	19	19.0	inf	46	0	0	0	0	[24.0, 19.0]	Small	1000	24	2	53	gexf
10584	cut	cap	first	Small.1000.24.2.53.gexf	1000	24000	10	4	[24, 24, 24, 24]	24	14	14.0	inf	46	0	0	0	0	[24.0, 14.0]	Small	1000	24	2	53	gexf
10586	cut	cap	first	Small.1000.24.5.53.gexf	1000	24000	2	1	[19, 19, 19, 19]	19	17	17.0	inf	45	0	0	0	0	[19.0, 17.0]	Small	1000	24	5	53	gexf
10587	cut	cap	first	Small.1000.24.5.53.gexf	1000	24000	3	2	[19, 19, 19, 19]	19	16	16.0	inf	44	0	0	0	0	[19.0, 16.0]	Small	1000	24	5	53	gexf
10588	cut	cap	first	Small.1000.24.5.53.gexf	1000	24000	5	3	[19, 19, 19, 19]	19	14	14.0	inf	45	0	0	0	0	[19.0, 14.0]	Small	1000	24	5	53	gexf
10589	cut	cap	first	Small.1000.24.5.53.gexf	1000	24000	10	4	[19, 19, 19, 19]	19	9	9.0	inf	45	0	0	0	0	[19.0, 9.0]	Small	1000	24	5	53	gexf
10591	cut	cap	first	Small.1000.6.2.54.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	164	0	0	0	0	[5.0, 3.0]	Small	1000	6	2	54	gexf
10592	cut	cap	first	Small.1000.6.2.54.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	166	0	0	0	0	[5.0, 2.0]	Small	1000	6	2	54	gexf
10596	cut	cap	first	Small.1000.6.5.54.gexf	1000	6000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	161	0	0	0	0	[7.0, 5.0]	Small	1000	6	5	54	gexf
10597	cut	cap	first	Small.1000.6.5.54.gexf	1000	6000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	162	0	0	0	0	[7.0, 4.0]	Small	1000	6	5	54	gexf
10598	cut	cap	first	Small.1000.6.5.54.gexf	1000	6000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	163	0	0	0	0	[7.0, 2.0]	Small	1000	6	5	54	gexf
10601	cut	cap	first	Small.1000.10.2.54.gexf	1000	10000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	107	0	0	0	0	[8.0, 6.0]	Small	1000	10	2	54	gexf
10602	cut	cap	first	Small.1000.10.2.54.gexf	1000	10000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	106	0	0	0	0	[8.0, 5.0]	Small	1000	10	2	54	gexf
10603	cut	cap	first	Small.1000.10.2.54.gexf	1000	10000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	106	0	0	0	0	[8.0, 3.0]	Small	1000	10	2	54	gexf
10606	cut	cap	first	Small.1000.10.5.54.gexf	1000	10000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	103	0	0	0	0	[7.0, 5.0]	Small	1000	10	5	54	gexf
10607	cut	cap	first	Small.1000.10.5.54.gexf	1000	10000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	102	0	0	0	0	[7.0, 4.0]	Small	1000	10	5	54	gexf
10608	cut	cap	first	Small.1000.10.5.54.gexf	1000	10000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	104	0	0	0	0	[7.0, 2.0]	Small	1000	10	5	54	gexf
10611	cut	cap	first	Small.1000.24.2.54.gexf	1000	24000	2	1	[23, 23, 23, 23]	23	21	21.0	inf	45	0	0	0	0	[23.0, 21.0]	Small	1000	24	2	54	gexf
10612	cut	cap	first	Small.1000.24.2.54.gexf	1000	24000	3	2	[23, 23, 23, 23]	23	20	20.0	inf	44	0	0	0	0	[23.0, 20.0]	Small	1000	24	2	54	gexf
10613	cut	cap	first	Small.1000.24.2.54.gexf	1000	24000	5	3	[23, 23, 23, 23]	23	18	18.0	inf	45	0	0	0	0	[23.0, 18.0]	Small	1000	24	2	54	gexf
10614	cut	cap	first	Small.1000.24.2.54.gexf	1000	24000	10	4	[23, 23, 23, 23]	23	13	13.0	inf	45	0	0	0	0	[23.0, 13.0]	Small	1000	24	2	54	gexf
10616	cut	cap	first	Small.1000.24.5.54.gexf	1000	24000	2	1	[22, 22, 22, 22]	22	20	20.0	inf	45	0	0	0	0	[22.0, 20.0]	Small	1000	24	5	54	gexf
10617	cut	cap	first	Small.1000.24.5.54.gexf	1000	24000	3	2	[22, 22, 22, 22]	22	19	19.0	inf	45	0	0	0	0	[22.0, 19.0]	Small	1000	24	5	54	gexf
10618	cut	cap	first	Small.1000.24.5.54.gexf	1000	24000	5	3	[22, 22, 22, 22]	22	17	17.0	inf	45	0	0	0	0	[22.0, 17.0]	Small	1000	24	5	54	gexf
10619	cut	cap	first	Small.1000.24.5.54.gexf	1000	24000	10	4	[22, 22, 22, 22]	22	12	12.0	inf	45	0	0	0	0	[22.0, 12.0]	Small	1000	24	5	54	gexf
10621	cut	cap	first	Small.1000.6.2.55.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	164	0	0	0	0	[5.0, 3.0]	Small	1000	6	2	55	gexf
10622	cut	cap	first	Small.1000.6.2.55.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	166	0	0	0	0	[5.0, 2.0]	Small	1000	6	2	55	gexf
10626	cut	cap	first	Small.1000.6.5.55.gexf	1000	6000	2	1	[4, 4, 4, 4]	4	2	2.0	inf	167	0	0	0	0	[4.0, 2.0]	Small	1000	6	5	55	gexf
10627	cut	cap	first	Small.1000.6.5.55.gexf	1000	6000	3	2	[4, 4, 4, 4]	4	1	1.0	inf	165	0	0	0	0	[4.0, 1.0]	Small	1000	6	5	55	gexf
10631	cut	cap	first	Small.1000.10.2.55.gexf	1000	10000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	106	0	0	0	0	[7.0, 5.0]	Small	1000	10	2	55	gexf
10632	cut	cap	first	Small.1000.10.2.55.gexf	1000	10000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	105	0	0	0	0	[7.0, 4.0]	Small	1000	10	2	55	gexf
10633	cut	cap	first	Small.1000.10.2.55.gexf	1000	10000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	105	0	0	0	0	[7.0, 2.0]	Small	1000	10	2	55	gexf
10636	cut	cap	first	Small.1000.10.5.55.gexf	1000	10000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	103	0	0	0	0	[9.0, 7.0]	Small	1000	10	5	55	gexf
10637	cut	cap	first	Small.1000.10.5.55.gexf	1000	10000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	104	0	0	0	0	[9.0, 6.0]	Small	1000	10	5	55	gexf
10638	cut	cap	first	Small.1000.10.5.55.gexf	1000	10000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	102	0	0	0	0	[9.0, 4.0]	Small	1000	10	5	55	gexf
10641	cut	cap	first	Small.1000.24.2.55.gexf	1000	24000	2	1	[23, 23, 23, 23]	23	21	21.0	inf	45	0	0	0	0	[23.0, 21.0]	Small	1000	24	2	55	gexf
10642	cut	cap	first	Small.1000.24.2.55.gexf	1000	24000	3	2	[23, 23, 23, 23]	23	20	20.0	inf	44	0	0	0	0	[23.0, 20.0]	Small	1000	24	2	55	gexf
10643	cut	cap	first	Small.1000.24.2.55.gexf	1000	24000	5	3	[23, 23, 23, 23]	23	18	18.0	inf	45	0	0	0	0	[23.0, 18.0]	Small	1000	24	2	55	gexf
10644	cut	cap	first	Small.1000.24.2.55.gexf	1000	24000	10	4	[23, 23, 23, 23]	23	13	13.0	inf	45	0	0	0	0	[23.0, 13.0]	Small	1000	24	2	55	gexf
10646	cut	cap	first	Small.1000.24.5.55.gexf	1000	24000	2	1	[22, 22, 22, 22]	22	20	20.0	inf	45	0	0	0	0	[22.0, 20.0]	Small	1000	24	5	55	gexf
10647	cut	cap	first	Small.1000.24.5.55.gexf	1000	24000	3	2	[22, 22, 22, 22]	22	19	19.0	inf	45	0	0	0	0	[22.0, 19.0]	Small	1000	24	5	55	gexf
10648	cut	cap	first	Small.1000.24.5.55.gexf	1000	24000	5	3	[22, 22, 22, 22]	22	17	17.0	inf	43	0	0	0	0	[22.0, 17.0]	Small	1000	24	5	55	gexf
10649	cut	cap	first	Small.1000.24.5.55.gexf	1000	24000	10	4	[22, 22, 22, 22]	22	12	12.0	inf	45	0	0	0	0	[22.0, 12.0]	Small	1000	24	5	55	gexf
10651	cut	cap	first	Small.1000.6.2.56.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	167	0	0	0	0	[5.0, 3.0]	Small	1000	6	2	56	gexf
10652	cut	cap	first	Small.1000.6.2.56.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	165	0	0	0	0	[5.0, 2.0]	Small	1000	6	2	56	gexf
10656	cut	cap	first	Small.1000.6.5.56.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	165	0	0	0	0	[5.0, 3.0]	Small	1000	6	5	56	gexf
10657	cut	cap	first	Small.1000.6.5.56.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	164	0	0	0	0	[5.0, 2.0]	Small	1000	6	5	56	gexf
10661	cut	cap	first	Small.1000.10.2.56.gexf	1000	10000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	105	0	0	0	0	[10.0, 8.0]	Small	1000	10	2	56	gexf
10662	cut	cap	first	Small.1000.10.2.56.gexf	1000	10000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	105	0	0	0	0	[10.0, 7.0]	Small	1000	10	2	56	gexf
10663	cut	cap	first	Small.1000.10.2.56.gexf	1000	10000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	106	0	0	0	0	[10.0, 5.0]	Small	1000	10	2	56	gexf
10666	cut	cap	first	Small.1000.10.5.56.gexf	1000	10000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	102	0	0	0	0	[8.0, 6.0]	Small	1000	10	5	56	gexf
10667	cut	cap	first	Small.1000.10.5.56.gexf	1000	10000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	104	0	0	0	0	[8.0, 5.0]	Small	1000	10	5	56	gexf
10668	cut	cap	first	Small.1000.10.5.56.gexf	1000	10000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	104	0	0	0	0	[8.0, 3.0]	Small	1000	10	5	56	gexf
10671	cut	cap	first	Small.1000.24.2.56.gexf	1000	24000	2	1	[23, 23, 23, 23]	23	21	21.0	inf	45	0	0	0	0	[23.0, 21.0]	Small	1000	24	2	56	gexf
10672	cut	cap	first	Small.1000.24.2.56.gexf	1000	24000	3	2	[23, 23, 23, 23]	23	20	20.0	inf	45	0	0	0	0	[23.0, 20.0]	Small	1000	24	2	56	gexf
10673	cut	cap	first	Small.1000.24.2.56.gexf	1000	24000	5	3	[23, 23, 23, 23]	23	18	18.0	inf	44	0	0	0	0	[23.0, 18.0]	Small	1000	24	2	56	gexf
10674	cut	cap	first	Small.1000.24.2.56.gexf	1000	24000	10	4	[23, 23, 23, 23]	23	13	13.0	inf	44	0	0	0	0	[23.0, 13.0]	Small	1000	24	2	56	gexf
10676	cut	cap	first	Small.1000.24.5.56.gexf	1000	24000	2	1	[21, 21, 21, 21]	21	19	19.0	inf	45	0	0	0	0	[21.0, 19.0]	Small	1000	24	5	56	gexf
10677	cut	cap	first	Small.1000.24.5.56.gexf	1000	24000	3	2	[21, 21, 21, 21]	21	18	18.0	inf	44	0	0	0	0	[21.0, 18.0]	Small	1000	24	5	56	gexf
10678	cut	cap	first	Small.1000.24.5.56.gexf	1000	24000	5	3	[21, 21, 21, 21]	21	16	16.0	inf	45	0	0	0	0	[21.0, 16.0]	Small	1000	24	5	56	gexf
10679	cut	cap	first	Small.1000.24.5.56.gexf	1000	24000	10	4	[21, 21, 21, 21]	21	11	11.0	inf	45	0	0	0	0	[21.0, 11.0]	Small	1000	24	5	56	gexf
10681	cut	cap	first	Small.1000.6.2.57.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	161	0	0	0	0	[5.0, 3.0]	Small	1000	6	2	57	gexf
10682	cut	cap	first	Small.1000.6.2.57.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	167	0	0	0	0	[5.0, 2.0]	Small	1000	6	2	57	gexf
10686	cut	cap	first	Small.1000.6.5.57.gexf	1000	6000	2	1	[5, 5, 5, 5]	5	3	3.0	inf	168	0	0	0	0	[5.0, 3.0]	Small	1000	6	5	57	gexf
10687	cut	cap	first	Small.1000.6.5.57.gexf	1000	6000	3	2	[5, 5, 5, 5]	5	2	2.0	inf	167	0	0	0	0	[5.0, 2.0]	Small	1000	6	5	57	gexf
10691	cut	cap	first	Small.1000.10.2.57.gexf	1000	10000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	105	0	0	0	0	[10.0, 8.0]	Small	1000	10	2	57	gexf
10692	cut	cap	first	Small.1000.10.2.57.gexf	1000	10000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	104	0	0	0	0	[10.0, 7.0]	Small	1000	10	2	57	gexf
10693	cut	cap	first	Small.1000.10.2.57.gexf	1000	10000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	103	0	0	0	0	[10.0, 5.0]	Small	1000	10	2	57	gexf
10696	cut	cap	first	Small.1000.10.5.57.gexf	1000	10000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	103	0	0	0	0	[8.0, 6.0]	Small	1000	10	5	57	gexf
10697	cut	cap	first	Small.1000.10.5.57.gexf	1000	10000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	102	0	0	0	0	[8.0, 5.0]	Small	1000	10	5	57	gexf
10698	cut	cap	first	Small.1000.10.5.57.gexf	1000	10000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	103	0	0	0	0	[8.0, 3.0]	Small	1000	10	5	57	gexf
10701	cut	cap	first	Small.1000.24.2.57.gexf	1000	24000	2	1	[23, 23, 23, 23]	23	21	21.0	inf	45	0	0	0	0	[23.0, 21.0]	Small	1000	24	2	57	gexf
10702	cut	cap	first	Small.1000.24.2.57.gexf	1000	24000	3	2	[23, 23, 23, 23]	23	20	20.0	inf	45	0	0	0	0	[23.0, 20.0]	Small	1000	24	2	57	gexf
10703	cut	cap	first	Small.1000.24.2.57.gexf	1000	24000	5	3	[23, 23, 23, 23]	23	18	18.0	inf	45	0	0	0	0	[23.0, 18.0]	Small	1000	24	2	57	gexf
10704	cut	cap	first	Small.1000.24.2.57.gexf	1000	24000	10	4	[23, 23, 23, 23]	23	13	13.0	inf	44	0	0	0	0	[23.0, 13.0]	Small	1000	24	2	57	gexf
10706	cut	cap	first	Small.1000.24.5.57.gexf	1000	24000	2	1	[23, 23, 23, 23]	23	21	21.0	inf	44	0	0	0	0	[23.0, 21.0]	Small	1000	24	5	57	gexf
10707	cut	cap	first	Small.1000.24.5.57.gexf	1000	24000	3	2	[23, 23, 23, 23]	23	20	20.0	inf	46	0	0	0	0	[23.0, 20.0]	Small	1000	24	5	57	gexf
10708	cut	cap	first	Small.1000.24.5.57.gexf	1000	24000	5	3	[23, 23, 23, 23]	23	18	18.0	inf	44	0	0	0	0	[23.0, 18.0]	Small	1000	24	5	57	gexf
10709	cut	cap	first	Small.1000.24.5.57.gexf	1000	24000	10	4	[23, 23, 23, 23]	23	13	13.0	inf	45	0	0	0	0	[23.0, 13.0]	Small	1000	24	5	57	gexf
