path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4	small_1	constant1	rmat_2	constant2	best.constant	best.alg
27	R-MAT.100.25.1.gexf	3	118	1	R-MAT	100	25	1	gexf	88	1.34090909090909	88	1.34090909090909	1.34090909090909	NA
28	R-MAT.100.25.1.gexf	5	118	1	R-MAT	100	25	1	gexf	75	1.57333333333333	75	1.57333333333333	1.57333333333333	NA
29	R-MAT.100.25.1.gexf	10	116.111111111111	3	R-MAT	100	25	1	gexf	52	2.23290598290598	52	2.23290598290598	2.23290598290598	NA
31	R-MAT.500.5.1.gexf	2	45	1	R-MAT	500	5	1	gexf	36	1.25	36	1.25	1.25	NA
32	R-MAT.500.5.1.gexf	3	45	1	R-MAT	500	5	1	gexf	33	1.36363636363636	33	1.36363636363636	1.36363636363636	NA
33	R-MAT.500.5.1.gexf	5	45	1	R-MAT	500	5	1	gexf	29	1.55172413793103	29	1.55172413793103	1.55172413793103	NA
34	R-MAT.500.5.1.gexf	10	44	2	R-MAT	500	5	1	gexf	23	1.91304347826087	23	1.91304347826087	1.91304347826087	NA
36	R-MAT.500.10.1.gexf	2	103	1	R-MAT	500	10	1	gexf	90	1.14444444444444	90	1.14444444444444	1.14444444444444	NA
37	R-MAT.500.10.1.gexf	3	103	1	R-MAT	500	10	1	gexf	87	1.18390804597701	87	1.18390804597701	1.18390804597701	NA
38	R-MAT.500.10.1.gexf	5	103	1	R-MAT	500	10	1	gexf	81	1.27160493827161	81	1.27160493827161	1.27160493827161	NA
39	R-MAT.500.10.1.gexf	10	103	1	R-MAT	500	10	1	gexf	70	1.47142857142857	70	1.47142857142857	1.47142857142857	NA
40	R-MAT.500.10.1.gexf	50	82.875	20	R-MAT	500	10	1	gexf	21	3.94642857142857	21	3.94642857142857	3.94642857142857	NA
41	R-MAT.500.25.1.gexf	2	250	1	R-MAT	500	25	1	gexf	218	1.14678899082569	218	1.14678899082569	1.14678899082569	NA
42	R-MAT.500.25.1.gexf	3	250	1	R-MAT	500	25	1	gexf	206	1.21359223300971	206	1.21359223300971	1.21359223300971	NA
43	R-MAT.500.25.1.gexf	5	250	1	R-MAT	500	25	1	gexf	189	1.32275132275132	189	1.32275132275132	1.32275132275132	NA
44	R-MAT.500.25.1.gexf	10	250	1	R-MAT	500	25	1	gexf	166	1.50602409638554	166	1.50602409638554	1.50602409638554	NA
45	R-MAT.500.25.1.gexf	50	206.318181818182	9	R-MAT	500	25	1	gexf	78	2.64510489510489	78	2.64510489510489	2.64510489510489	NA
46	R-MAT.1000.5.1.gexf	2	87	1	R-MAT	1000	5	1	gexf	78	1.11538461538462	78	1.11538461538462	1.11538461538462	NA
47	R-MAT.1000.5.1.gexf	3	87	1	R-MAT	1000	5	1	gexf	75	1.16	75	1.16	1.16	NA
48	R-MAT.1000.5.1.gexf	5	87	1	R-MAT	1000	5	1	gexf	71	1.22535211267606	71	1.22535211267606	1.22535211267606	NA
49	R-MAT.1000.5.1.gexf	10	87	1	R-MAT	1000	5	1	gexf	61	1.42622950819672	61	1.42622950819672	1.42622950819672	NA
50	R-MAT.1000.5.1.gexf	50	75.225	12	R-MAT	1000	5	1	gexf	20	3.76125	20	3.76125	3.76125	NA
51	R-MAT.1000.10.1.gexf	2	151	1	R-MAT	1000	10	1	gexf	136	1.11029411764706	136	1.11029411764706	1.11029411764706	NA
52	R-MAT.1000.10.1.gexf	3	151	1	R-MAT	1000	10	1	gexf	130	1.16153846153846	130	1.16153846153846	1.16153846153846	NA
53	R-MAT.1000.10.1.gexf	5	151	1	R-MAT	1000	10	1	gexf	119	1.26890756302521	119	1.26890756302521	1.26890756302521	NA
54	R-MAT.1000.10.1.gexf	10	151	1	R-MAT	1000	10	1	gexf	104	1.45192307692308	104	1.45192307692308	1.45192307692308	NA
55	R-MAT.1000.10.1.gexf	50	128.714285714286	11	R-MAT	1000	10	1	gexf	49	2.6268221574344	49	2.6268221574344	2.6268221574344	NA
56	R-MAT.1000.25.1.gexf	2	343	1	R-MAT	1000	25	1	gexf	318	1.07861635220126	318	1.07861635220126	1.07861635220126	NA
57	R-MAT.1000.25.1.gexf	3	343	1	R-MAT	1000	25	1	gexf	309	1.11003236245955	309	1.11003236245955	1.11003236245955	NA
58	R-MAT.1000.25.1.gexf	5	343	1	R-MAT	1000	25	1	gexf	297	1.15488215488215	297	1.15488215488215	1.15488215488215	NA
59	R-MAT.1000.25.1.gexf	10	343	1	R-MAT	1000	25	1	gexf	270	1.27037037037037	270	1.27037037037037	1.27037037037037	NA
60	R-MAT.1000.25.1.gexf	50	328.3125	4	R-MAT	1000	25	1	gexf	165	1.98977272727273	165	1.98977272727273	1.98977272727273	NA
61	R-MAT.50.5.2.gexf	2	11	1	R-MAT	50	5	2	gexf	9	1.22222222222222	8	1.375	1.375	2
62	R-MAT.50.5.2.gexf	3	11	1	R-MAT	50	5	2	gexf	8	1.375	7	1.57142857142857	1.57142857142857	2
63	R-MAT.50.5.2.gexf	5	10.8	2	R-MAT	50	5	2	gexf	6	1.8	5	2.16	2.16	2
66	R-MAT.50.10.2.gexf	2	29	1	R-MAT	50	10	2	gexf	19	1.52631578947368	19	1.52631578947368	1.52631578947368	NA
67	R-MAT.50.10.2.gexf	3	29	1	R-MAT	50	10	2	gexf	15	1.93333333333333	15	1.93333333333333	1.93333333333333	NA
68	R-MAT.50.10.2.gexf	5	27.6	2	R-MAT	50	10	2	gexf	11	2.50909090909091	11	2.50909090909091	2.50909090909091	NA
69	R-MAT.50.10.2.gexf	10	19.25	8	R-MAT	50	10	2	gexf	4	4.8125	4	4.8125	4.8125	NA
71	R-MAT.50.25.2.gexf	2	59	1	R-MAT	50	25	2	gexf	36	1.63888888888889	36	1.63888888888889	1.63888888888889	NA
72	R-MAT.50.25.2.gexf	3	59	1	R-MAT	50	25	2	gexf	30	1.96666666666667	30	1.96666666666667	1.96666666666667	NA
73	R-MAT.50.25.2.gexf	5	54	2	R-MAT	50	25	2	gexf	20	2.7	20	2.7	2.7	NA
74	R-MAT.50.25.2.gexf	10	36.6666666666667	6	R-MAT	50	25	2	gexf	10	3.66666666666667	10	3.66666666666667	3.66666666666667	NA
76	R-MAT.100.5.2.gexf	2	19	1	R-MAT	100	5	2	gexf	13	1.46153846153846	13	1.46153846153846	1.46153846153846	NA
77	R-MAT.100.5.2.gexf	3	19	1	R-MAT	100	5	2	gexf	11	1.72727272727273	11	1.72727272727273	1.72727272727273	NA
78	R-MAT.100.5.2.gexf	5	19	1	R-MAT	100	5	2	gexf	9	2.11111111111111	9	2.11111111111111	2.11111111111111	NA
79	R-MAT.100.5.2.gexf	10	15.125	4	R-MAT	100	5	2	gexf	5	3.025	4	3.78125	3.78125	2
81	R-MAT.100.10.2.gexf	2	41	1	R-MAT	100	10	2	gexf	29	1.41379310344828	29	1.41379310344828	1.41379310344828	NA
82	R-MAT.100.10.2.gexf	3	41	1	R-MAT	100	10	2	gexf	25	1.64	25	1.64	1.64	NA
83	R-MAT.100.10.2.gexf	5	39.6	2	R-MAT	100	10	2	gexf	20	1.98	20	1.98	1.98	NA
