construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4,k:5
cut,cap,first,Rand.Uni.500.10.7.gexf,500,5000,2,1,"[15, 15, 15, 15]",8.972683770477506,7.220683495720131,7.220683495720131,inf,34,0,0,0,0,"[8.972683770477506, 7.220683495720131]",Rand,Uni,500,10,7,gexf
cut,cap,first,Rand.Uni.500.10.7.gexf,500,5000,3,2,"[15, 15, 15, 15]",8.972683770477506,6.3488753355762775,6.3488753355762775,inf,58,0,0,0,0,"[8.972683770477506, 6.3488753355762775]",Rand,Uni,500,10,7,gexf
cut,cap,first,Rand.Uni.500.10.7.gexf,500,5000,5,3,"[15, 15, 15, 15]",8.972683770477506,4.700137489020861,4.700137489020861,inf,34,0,0,0,0,"[8.972683770477506, 4.700137489020861]",Rand,Uni,500,10,7,gexf
cut,cap,first,Rand.Uni.500.10.7.gexf,500,5000,10,4,"[15, 15, 15, 15]",8.972683770477506,1.4724315797295568,1.4724315797295568,inf,206,0,0,0,0,"[8.972683770477506, 1.4724315797295568]",Rand,Uni,500,10,7,gexf
cut,cap,first,Rand.Uni.500.10.7.gexf,500,F,50,5,"[15, 15, 15, 15]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,7,gexf
cut,cap,first,Rand.Uni.500.25.7.gexf,500,12500,2,1,"[45, 45, 45, 45]",23.943022133850686,22.12412932993189,22.12412932993189,inf,29,0,0,0,0,"[23.943022133850686, 22.12412932993189]",Rand,Uni,500,25,7,gexf
cut,cap,first,Rand.Uni.500.25.7.gexf,500,12500,3,2,"[45, 45, 45, 45]",23.943022133850686,21.241651922976807,21.241651922976807,inf,37,0,0,0,0,"[23.943022133850686, 21.241651922976807]",Rand,Uni,500,25,7,gexf
cut,cap,first,Rand.Uni.500.25.7.gexf,500,12500,5,3,"[45, 45, 45, 45]",23.943022133850686,19.529324576359066,19.529324576359066,inf,29,0,0,0,0,"[23.943022133850686, 19.529324576359066]",Rand,Uni,500,25,7,gexf
cut,cap,first,Rand.Uni.500.25.7.gexf,500,12500,10,4,"[45, 45, 45, 45]",23.943022133850686,15.503514911244322,15.503514911244322,inf,37,0,0,0,0,"[23.943022133850686, 15.503514911244322]",Rand,Uni,500,25,7,gexf
cut,cap,first,Rand.Uni.500.25.7.gexf,500,F,50,5,"[45, 45, 45, 45]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,25,7,gexf
