construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,R-MAT.50.5.9.gexf,50,184,5,3,"[8, 8, 8, 8]",10.0,3.0,3.0,inf,5435,0,0,0,0,"[10.0, 3.0]",R-MAT,50,5,9,gexf
cut,cap,first,R-MAT.50.5.9.gexf,50,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,9,gexf
cut,cap,first,R-MAT.50.5.9.gexf,50,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,9,gexf
cut,cap,first,R-MAT.50.10.9.gexf,50,304,2,1,"[17, 17, 17, 17]",38.0,26.0,26.0,inf,1113,0,0,0,0,"[38.0, 26.0]",R-MAT,50,10,9,gexf
cut,cap,first,R-MAT.50.10.9.gexf,50,304,3,2,"[17, 17, 17, 17]",38.0,23.0,23.0,inf,1423,0,0,0,0,"[38.0, 23.0]",R-MAT,50,10,9,gexf
cut,cap,first,R-MAT.50.10.9.gexf,50,304,5,3,"[17, 17, 17, 17]",38.0,17.0,17.0,inf,1635,0,0,0,0,"[38.0, 17.0]",R-MAT,50,10,9,gexf
cut,cap,first,R-MAT.50.10.9.gexf,50,304,10,4,"[17, 17, 17, 17]",38.0,8.0,8.0,inf,3531,0,0,0,0,"[38.0, 8.0]",R-MAT,50,10,9,gexf
cut,cap,first,R-MAT.50.10.9.gexf,50,F,50,5,"[17, 17, 17, 17]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,9,gexf
cut,cap,first,R-MAT.50.25.9.gexf,50,600,2,1,"[25, 25, 25, 25]",66.0,49.0,49.0,inf,1498,0,0,0,0,"[66.0, 49.0]",R-MAT,50,25,9,gexf
cut,cap,first,R-MAT.50.25.9.gexf,50,600,3,2,"[25, 25, 25, 25]",66.0,43.0,43.0,inf,738,0,0,0,0,"[66.0, 43.0]",R-MAT,50,25,9,gexf
cut,cap,first,R-MAT.50.25.9.gexf,50,600,5,3,"[25, 25, 25, 25]",66.0,33.0,33.0,inf,615,0,0,0,0,"[66.0, 33.0]",R-MAT,50,25,9,gexf
cut,cap,first,R-MAT.50.25.9.gexf,50,600,10,4,"[25, 25, 25, 25]",66.0,19.0,19.0,inf,1195,0,0,0,0,"[66.0, 19.0]",R-MAT,50,25,9,gexf
cut,cap,first,R-MAT.50.25.9.gexf,50,F,50,5,"[25, 25, 25, 25]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,9,gexf
cut,cap,first,R-MAT.50.5.10.gexf,50,187,2,1,"[9, 9, 9, 9]",17.0,10.0,11.0,10.0,1962,1,0,0,0,"[17.0, 11.0, 10.0]",R-MAT,50,5,10,gexf
